1024x1024 bmm transpose 1,,,
elapsed time,power,no of threads,
3.44,2,1, block size is 4
6.73,3,1, block size is 4
10.15,4,1, block size is 4
13.64,5,1, block size is 4
16.84,6,1, block size is 4
20.04,7,1, block size is 4
23.11,8,1, block size is 4
26.17,9,1, block size is 4
29.2,10,1, block size is 4
32.22,11,1, block size is 4
35.29,12,1, block size is 4
38.32,13,1, block size is 4
41.36,14,1, block size is 4
44.43,15,1, block size is 4
47.48,16,1, block size is 4
50.17,2,1, block size is 8
52.86,3,1, block size is 8
55.55,4,1, block size is 8
58.25,5,1, block size is 8
60.94,6,1, block size is 8
63.63,7,1, block size is 8
66.34,8,1, block size is 8
69.05,9,1, block size is 8
71.75,10,1, block size is 8
74.47,11,1, block size is 8
77.17,12,1, block size is 8
79.89,13,1, block size is 8
82.61,14,1, block size is 8
85.31,15,1, block size is 8
88.03,16,1, block size is 8
90.5,2,1, block size is 16
92.95,3,1, block size is 16
95.41,4,1, block size is 16
97.86,5,1, block size is 16
100.32,6,1, block size is 16
102.78,7,1, block size is 16
105.25,8,1, block size is 16
107.71,9,1, block size is 16
110.16,10,1, block size is 16
112.62,11,1, block size is 16
115.07,12,1, block size is 16
117.52,13,1, block size is 16
119.98,14,1, block size is 16
122.44,15,1, block size is 16
124.89,16,1, block size is 16
127.31,2,1, block size is 32
129.73,3,1, block size is 32
132.14,4,1, block size is 32
134.58,5,1, block size is 32
137.01,6,1, block size is 32
139.43,7,1, block size is 32
141.85,8,1, block size is 32
144.27,9,1, block size is 32
146.69,10,1, block size is 32
149.1,11,1, block size is 32
151.52,12,1, block size is 32
153.94,13,1, block size is 32
156.36,14,1, block size is 32
158.77,15,1, block size is 32
161.19,16,1, block size is 32
163.58,2,1, block size is 64
165.98,3,1, block size is 64
168.38,4,1, block size is 64
170.77,5,1, block size is 64
173.16,6,1, block size is 64
175.54,7,1, block size is 64
177.93,8,1, block size is 64
180.32,9,1, block size is 64
182.71,10,1, block size is 64
185.1,11,1, block size is 64
187.5,12,1, block size is 64
189.89,13,1, block size is 64
192.28,14,1, block size is 64
194.67,15,1, block size is 64
197.06,16,1, block size is 64
1024 1 thread done,,,
1.61,2,2, block size is 4
3.15,3,2, block size is 4
4.67,4,2, block size is 4
6.2,5,2, block size is 4
7.74,6,2, block size is 4
9.26,7,2, block size is 4
10.8,8,2, block size is 4
12.32,9,2, block size is 4
13.85,10,2, block size is 4
15.38,11,2, block size is 4
16.91,12,2, block size is 4
18.43,13,2, block size is 4
19.96,14,2, block size is 4
21.5,15,2, block size is 4
23.02,16,2, block size is 4
24.34,2,2, block size is 8
25.66,3,2, block size is 8
26.98,4,2, block size is 8
28.29,5,2, block size is 8
29.61,6,2, block size is 8
30.93,7,2, block size is 8
32.25,8,2, block size is 8
33.57,9,2, block size is 8
34.89,10,2, block size is 8
36.21,11,2, block size is 8
37.53,12,2, block size is 8
38.85,13,2, block size is 8
40.17,14,2, block size is 8
41.49,15,2, block size is 8
42.81,16,2, block size is 8
44.02,2,2, block size is 16
45.24,3,2, block size is 16
46.46,4,2, block size is 16
47.67,5,2, block size is 16
48.89,6,2, block size is 16
50.1,7,2, block size is 16
51.32,8,2, block size is 16
52.53,9,2, block size is 16
53.75,10,2, block size is 16
54.96,11,2, block size is 16
56.17,12,2, block size is 16
57.39,13,2, block size is 16
58.6,14,2, block size is 16
59.81,15,2, block size is 16
61.03,16,2, block size is 16
62.25,2,2, block size is 32
63.46,3,2, block size is 32
64.67,4,2, block size is 32
65.88,5,2, block size is 32
67.1,6,2, block size is 32
68.31,7,2, block size is 32
69.52,8,2, block size is 32
70.73,9,2, block size is 32
71.95,10,2, block size is 32
73.16,11,2, block size is 32
74.37,12,2, block size is 32
75.58,13,2, block size is 32
76.79,14,2, block size is 32
78.01,15,2, block size is 32
79.22,16,2, block size is 32
80.42,2,2, block size is 64
81.63,3,2, block size is 64
82.83,4,2, block size is 64
84.03,5,2, block size is 64
85.23,6,2, block size is 64
86.44,7,2, block size is 64
87.65,8,2, block size is 64
88.85,9,2, block size is 64
elapsed time = 90.05 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 91.26 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 92.46 | seconds power is 12 | number of threads is 2 | block size is 64,,,
