1024x1024 bmm  3,,,
elapsed time,power,no of threads,
2.94,2,1, block size is 4
5.76,3,1, block size is 4
8.58,4,1, block size is 4
11.39,5,1, block size is 4
14.21,6,1, block size is 4
17.02,7,1, block size is 4
19.84,8,1, block size is 4
22.64,9,1, block size is 4
25.46,10,1, block size is 4
28.3,11,1, block size is 4
31.16,12,1, block size is 4
33.97,13,1, block size is 4
36.78,14,1, block size is 4
39.6,15,1, block size is 4
42.42,16,1, block size is 4
44.93,2,1, block size is 8
47.44,3,1, block size is 8
49.95,4,1, block size is 8
52.46,5,1, block size is 8
54.97,6,1, block size is 8
57.48,7,1, block size is 8
60.02,8,1, block size is 8
62.53,9,1, block size is 8
65.05,10,1, block size is 8
67.56,11,1, block size is 8
70.08,12,1, block size is 8
72.59,13,1, block size is 8
75.12,14,1, block size is 8
77.62,15,1, block size is 8
80.14,16,1, block size is 8
82.5,2,1, block size is 16
84.87,3,1, block size is 16
87.23,4,1, block size is 16
89.61,5,1, block size is 16
91.98,6,1, block size is 16
94.35,7,1, block size is 16
96.72,8,1, block size is 16
99.09,9,1, block size is 16
101.46,10,1, block size is 16
103.83,11,1, block size is 16
106.2,12,1, block size is 16
108.56,13,1, block size is 16
110.93,14,1, block size is 16
113.3,15,1, block size is 16
115.67,16,1, block size is 16
118.05,2,1, block size is 32
120.44,3,1, block size is 32
122.82,4,1, block size is 32
125.21,5,1, block size is 32
127.6,6,1, block size is 32
129.98,7,1, block size is 32
132.37,8,1, block size is 32
134.75,9,1, block size is 32
137.14,10,1, block size is 32
139.52,11,1, block size is 32
141.91,12,1, block size is 32
144.29,13,1, block size is 32
146.67,14,1, block size is 32
149.06,15,1, block size is 32
151.44,16,1, block size is 32
153.81,2,1, block size is 64
156.18,3,1, block size is 64
158.55,4,1, block size is 64
160.92,5,1, block size is 64
163.29,6,1, block size is 64
165.66,7,1, block size is 64
168.03,8,1, block size is 64
170.4,9,1, block size is 64
172.77,10,1, block size is 64
175.14,11,1, block size is 64
177.51,12,1, block size is 64
179.88,13,1, block size is 64
182.25,14,1, block size is 64
184.62,15,1, block size is 64
186.99,16,1, block size is 64
1024 1 thread done,,,
1.44,2,2, block size is 4
2.88,3,2, block size is 4
4.3,4,2, block size is 4
5.74,5,2, block size is 4
7.15,6,2, block size is 4
8.59,7,2, block size is 4
10.06,8,2, block size is 4
11.59,9,2, block size is 4
13,10,2, block size is 4
14.42,11,2, block size is 4
15.83,12,2, block size is 4
17.24,13,2, block size is 4
18.65,14,2, block size is 4
20.07,15,2, block size is 4
21.48,16,2, block size is 4
22.74,2,2, block size is 8
24,3,2, block size is 8
25.26,4,2, block size is 8
26.52,5,2, block size is 8
27.78,6,2, block size is 8
29.03,7,2, block size is 8
30.29,8,2, block size is 8
31.55,9,2, block size is 8
32.81,10,2, block size is 8
34.07,11,2, block size is 8
35.33,12,2, block size is 8
36.59,13,2, block size is 8
37.85,14,2, block size is 8
39.11,15,2, block size is 8
40.37,16,2, block size is 8
41.56,2,2, block size is 16
42.74,3,2, block size is 16
43.93,4,2, block size is 16
45.12,5,2, block size is 16
46.3,6,2, block size is 16
47.49,7,2, block size is 16
48.68,8,2, block size is 16
49.87,9,2, block size is 16
51.05,10,2, block size is 16
52.24,11,2, block size is 16
53.43,12,2, block size is 16
54.61,13,2, block size is 16
55.8,14,2, block size is 16
56.99,15,2, block size is 16
58.18,16,2, block size is 16
59.37,2,2, block size is 32
60.57,3,2, block size is 32
61.76,4,2, block size is 32
62.96,5,2, block size is 32
64.16,6,2, block size is 32
65.36,7,2, block size is 32
66.55,8,2, block size is 32
67.75,9,2, block size is 32
68.95,10,2, block size is 32
70.14,11,2, block size is 32
71.34,12,2, block size is 32
72.53,13,2, block size is 32
73.73,14,2, block size is 32
74.92,15,2, block size is 32
76.12,16,2, block size is 32
77.3,2,2, block size is 64
78.49,3,2, block size is 64
79.68,4,2, block size is 64
80.86,5,2, block size is 64
82.05,6,2, block size is 64
83.23,7,2, block size is 64
84.42,8,2, block size is 64
85.61,9,2, block size is 64
elapsed time = 86.79 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 87.98 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 89.16 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 90.35 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 91.54 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 92.72 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 93.91 | seconds power is 16 | number of threads is 2 | block size is 64,,,
1024 2 thread done,,,
elapsed time = 0.74 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 1.47 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 2.19 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 2.91 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 3.65 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 4.37 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 5.10 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 5.82 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 6.55 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 7.27 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 7.99 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 8.72 | seconds power is 13 | number of threads is 4 | block size is 4,,,
elapsed time = 9.44 | seconds power is 14 | number of threads is 4 | block size is 4,,,
elapsed time = 10.17 | seconds power is 15 | number of threads is 4 | block size is 4,,,
elapsed time = 10.89 | seconds power is 16 | number of threads is 4 | block size is 4,,,
elapsed time = 11.54 | seconds power is 2 | number of threads is 4 | block size is 8,,,
elapsed time = 12.18 | seconds power is 3 | number of threads is 4 | block size is 8,,,
elapsed time = 12.82 | seconds power is 4 | number of threads is 4 | block size is 8,,,
elapsed time = 13.46 | seconds power is 5 | number of threads is 4 | block size is 8,,,
elapsed time = 14.11 | seconds power is 6 | number of threads is 4 | block size is 8,,,
elapsed time = 14.75 | seconds power is 7 | number of threads is 4 | block size is 8,,,
elapsed time = 15.39 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 16.03 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 16.68 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 17.32 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 17.96 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 18.61 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 19.25 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 19.89 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 20.54 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 21.15 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 21.75 | seconds power is 3 | number of threads is 4 | block size is 16,,,
elapsed time = 22.36 | seconds power is 4 | number of threads is 4 | block size is 16,,,
elapsed time = 22.97 | seconds power is 5 | number of threads is 4 | block size is 16,,,
elapsed time = 23.57 | seconds power is 6 | number of threads is 4 | block size is 16,,,
elapsed time = 24.18 | seconds power is 7 | number of threads is 4 | block size is 16,,,
elapsed time = 24.79 | seconds power is 8 | number of threads is 4 | block size is 16,,,
elapsed time = 25.39 | seconds power is 9 | number of threads is 4 | block size is 16,,,
elapsed time = 26.00 | seconds power is 10 | number of threads is 4 | block size is 16,,,
elapsed time = 26.61 | seconds power is 11 | number of threads is 4 | block size is 16,,,
elapsed time = 27.22 | seconds power is 12 | number of threads is 4 | block size is 16,,,
elapsed time = 27.82 | seconds power is 13 | number of threads is 4 | block size is 16,,,
elapsed time = 28.43 | seconds power is 14 | number of threads is 4 | block size is 16,,,
elapsed time = 29.04 | seconds power is 15 | number of threads is 4 | block size is 16,,,
elapsed time = 29.64 | seconds power is 16 | number of threads is 4 | block size is 16,,,
elapsed time = 30.26 | seconds power is 2 | number of threads is 4 | block size is 32,,,
