1024x1024 omm 1,,
Elapsed time,Power,No of threads
3.49,2,1
6.53,3,1
9.56,4,1
12.58,5,1
15.6,6,1
18.62,7,1
21.63,8,1
24.64,9,1
27.67,10,1
30.68,11,1
33.7,12,1
36.72,13,1
39.73,14,1
42.75,15,1
45.77,16,1
1024 1 thread done,,
1.55,2,2
3.1,3,2
4.61,4,2
6.13,5,2
7.66,6,2
9.18,7,2
10.7,8,2
12.22,9,2
13.73,10,2
15.24,11,2
16.76,12,2
18.27,13,2
19.79,14,2
21.3,15,2
22.82,16,2
1024 2 thread done,,
0.79,2,4
1.56,3,4
2.32,4,4
3.08,5,4
3.84,6,4
4.6,7,4
5.36,8,4
6.12,9,4
6.88,10,4
7.64,11,4
8.41,12,4
9.19,13,4
9.96,14,4
10.74,15,4
11.52,16,4
1024 4 thread done,,
0.58,2,6
1.12,3,6
1.68,4,6
2.23,5,6
2.78,6,6
3.32,7,6
3.86,8,6
4.41,9,6
5.17,10,6
5.81,11,6
6.43,12,6
7,13,6
7.58,14,6
8.25,15,6
8.84,16,6
1024 6 thread done,,
0.51,2,8
0.95,3,8
1.39,4,8
1.84,5,8
2.3,6,8
2.82,7,8
3.3,8,8
3.77,9,8
4.26,10,8
4.77,11,8
5.24,12,8
5.69,13,8
6.32,14,8
6.86,15,8
7.31,16,8
1024 8 thread done,,
0.57,2,10
1.15,3,10
1.69,4,10
2.2,5,10
2.69,6,10
3.19,7,10
3.72,8,10
4.23,9,10
4.71,10,10
5.22,11,10
5.76,12,10
6.31,13,10
6.82,14,10
7.38,15,10
7.86,16,10
1024 10 thread done,,
0.47,2,12
0.92,3,12
1.35,4,12
1.78,5,12
2.24,6,12
2.68,7,12
3.11,8,12
3.55,9,12
3.99,10,12
4.45,11,12
4.89,12,12
5.31,13,12
5.77,14,12
6.24,15,12
6.77,16,12
1024 12 thread done,,
0.46,2,14
0.94,3,14
1.4,4,14
1.87,5,14
2.33,6,14
2.79,7,14
3.27,8,14
3.75,9,14
4.21,10,14
4.69,11,14
5.17,12,14
5.64,13,14
6.12,14,14
6.6,15,14
7.06,16,14
1024 14 thread done,,
0.45,2,16
0.91,3,16
1.36,4,16
1.82,5,16
2.29,6,16
2.75,7,16
3.22,8,16
3.68,9,16
4.15,10,16
4.61,11,16
5.06,12,16
5.51,13,16
5.99,14,16
6.46,15,16
6.92,16,16
1024 16 thread done,,
