1024x1024 omm 0,,
elapsed time,power,no of threads
3.12,2,1
6.11,3,1
9.09,4,1
12.09,5,1
15.08,6,1
18.07,7,1
21.06,8,1
24.05,9,1
27.04,10,1
30.03,11,1
33.02,12,1
36.01,13,1
39,14,1
41.99,15,1
44.97,16,1
1024 1 thread done,,
1.53,2,2
3.04,3,2
4.54,4,2
6.05,5,2
7.56,6,2
9.06,7,2
10.57,8,2
12.06,9,2
13.55,10,2
15.05,11,2
16.54,12,2
18.04,13,2
19.54,14,2
21.03,15,2
22.53,16,2
1024 2 thread done,,
0.81,2,4
1.6,3,4
2.37,4,4
3.15,5,4
3.92,6,4
4.69,7,4
5.46,8,4
6.23,9,4
7,10,4
7.77,11,4
8.54,12,4
9.31,13,4
10.08,14,4
10.86,15,4
11.63,16,4
1024 4 thread done,,
0.57,2,6
1.1,3,6
1.63,4,6
2.16,5,6
2.69,6,6
3.21,7,6
3.73,8,6
4.25,9,6
4.78,10,6
5.3,11,6
5.82,12,6
6.35,13,6
6.87,14,6
7.4,15,6
7.92,16,6
1024 6 thread done,,
0.47,2,8
0.92,3,8
1.36,4,8
1.8,5,8
2.24,6,8
2.68,7,8
3.13,8,8
3.57,9,8
4.01,10,8
4.45,11,8
4.89,12,8
5.33,13,8
5.77,14,8
6.21,15,8
6.65,16,8
1024 8 thread done,,
0.5,2,10
1.03,3,10
1.52,4,10
1.99,5,10
2.49,6,10
3.03,7,10
3.52,8,10
3.99,9,10
4.49,10,10
4.99,11,10
5.49,12,10
5.96,13,10
6.46,14,10
6.98,15,10
7.48,16,10
1024 10 thread done,,
0.45,2,12
0.89,3,12
1.35,4,12
1.79,5,12
2.23,6,12
2.69,7,12
3.13,8,12
3.57,9,12
4,10,12
4.44,11,12
4.87,12,12
5.3,13,12
5.75,14,12
6.22,15,12
6.68,16,12
1024 12 thread done,,
0.49,2,14
0.94,3,14
1.43,4,14
1.91,5,14
2.39,6,14
2.84,7,14
3.33,8,14
3.84,9,14
4.29,10,14
4.75,11,14
5.23,12,14
5.69,13,14
6.16,14,14
6.62,15,14
7.08,16,14
1024 14 thread done,,
0.48,2,16
0.93,3,16
1.41,4,16
1.88,5,16
2.33,6,16
2.81,7,16
3.29,8,16
3.79,9,16
4.25,10,16
4.72,11,16
5.19,12,16
5.67,13,16
6.12,14,16
6.58,15,16
7.05,16,16
1024 16 thread done,,
