2048x2048 bmm transpose 1,,,
elapsed time,power,no of threads,
37.45,2,1, block size is 4
73.83,3,1, block size is 4
110.07,4,1, block size is 4
146.41,5,1, block size is 4
182.57,6,1, block size is 4
218.79,7,1, block size is 4
254.81,8,1, block size is 4
290.78,9,1, block size is 4
327.03,10,1, block size is 4
363.21,11,1, block size is 4
399.55,12,1, block size is 4
435.39,13,1, block size is 4
471.27,14,1, block size is 4
507.26,15,1, block size is 4
543.33,16,1, block size is 4
565.69,2,1, block size is 8
588.05,3,1, block size is 8
610.4,4,1, block size is 8
632.76,5,1, block size is 8
655.14,6,1, block size is 8
677.51,7,1, block size is 8
699.88,8,1, block size is 8
722.27,9,1, block size is 8
744.64,10,1, block size is 8
767.01,11,1, block size is 8
789.37,12,1, block size is 8
811.74,13,1, block size is 8
834.1,14,1, block size is 8
856.47,15,1, block size is 8
878.84,16,1, block size is 8
899.4,2,1, block size is 16
919.94,3,1, block size is 16
940.48,4,1, block size is 16
961.02,5,1, block size is 16
981.55,6,1, block size is 16
1002.09,7,1, block size is 16
1022.63,8,1, block size is 16
1043.17,9,1, block size is 16
1063.73,10,1, block size is 16
1084.28,11,1, block size is 16
1104.82,12,1, block size is 16
1125.37,13,1, block size is 16
1145.92,14,1, block size is 16
1166.47,15,1, block size is 16
1187.02,16,1, block size is 16
1207.41,2,1, block size is 32
1227.77,3,1, block size is 32
1248.15,4,1, block size is 32
1268.53,5,1, block size is 32
1288.9,6,1, block size is 32
1309.28,7,1, block size is 32
1329.65,8,1, block size is 32
1350.02,9,1, block size is 32
1370.4,10,1, block size is 32
1390.78,11,1, block size is 32
1411.15,12,1, block size is 32
1431.53,13,1, block size is 32
1451.9,14,1, block size is 32
1472.27,15,1, block size is 32
1492.64,16,1, block size is 32
1512.52,2,1, block size is 64
1532.39,3,1, block size is 64
1552.27,4,1, block size is 64
1572.15,5,1, block size is 64
1592.04,6,1, block size is 64
1611.92,7,1, block size is 64
1631.79,8,1, block size is 64
1651.67,9,1, block size is 64
1671.56,10,1, block size is 64
1691.44,11,1, block size is 64
1711.32,12,1, block size is 64
1731.2,13,1, block size is 64
1751.08,14,1, block size is 64
1770.96,15,1, block size is 64
1790.84,16,1, block size is 64
2048 1 thread done,,,
17.8,2,2, block size is 4
35.55,3,2, block size is 4
53.3,4,2, block size is 4
71.04,5,2, block size is 4
88.78,6,2, block size is 4
106.88,7,2, block size is 4
125.23,8,2, block size is 4
143.2,9,2, block size is 4
161.56,10,2, block size is 4
179.9,11,2, block size is 4
198.27,12,2, block size is 4
216.01,13,2, block size is 4
233.73,14,2, block size is 4
251.46,15,2, block size is 4
269.25,16,2, block size is 4
279.66,2,2, block size is 8
290.08,3,2, block size is 8
300.48,4,2, block size is 8
310.88,5,2, block size is 8
321.3,6,2, block size is 8
331.71,7,2, block size is 8
342.11,8,2, block size is 8
352.54,9,2, block size is 8
362.96,10,2, block size is 8
373.37,11,2, block size is 8
384,12,2, block size is 8
394.41,13,2, block size is 8
404.82,14,2, block size is 8
415.24,15,2, block size is 8
425.65,16,2, block size is 8
435.54,2,2, block size is 16
445.43,3,2, block size is 16
455.34,4,2, block size is 16
465.23,5,2, block size is 16
475.12,6,2, block size is 16
485.02,7,2, block size is 16
494.91,8,2, block size is 16
504.81,9,2, block size is 16
514.7,10,2, block size is 16
524.59,11,2, block size is 16
534.48,12,2, block size is 16
544.38,13,2, block size is 16
554.29,14,2, block size is 16
564.2,15,2, block size is 16
574.11,16,2, block size is 16
584.25,2,2, block size is 32
594.41,3,2, block size is 32
604.56,4,2, block size is 32
614.72,5,2, block size is 32
624.87,6,2, block size is 32
635.03,7,2, block size is 32
645.17,8,2, block size is 32
655.32,9,2, block size is 32
665.48,10,2, block size is 32
675.63,11,2, block size is 32
685.78,12,2, block size is 32
695.94,13,2, block size is 32
706.1,14,2, block size is 32
716.26,15,2, block size is 32
726.41,16,2, block size is 32
736.33,2,2, block size is 64
746.26,3,2, block size is 64
756.18,4,2, block size is 64
766.1,5,2, block size is 64
776.03,6,2, block size is 64
785.96,7,2, block size is 64
795.89,8,2, block size is 64
805.81,9,2, block size is 64
elapsed time = 815.73 | seconds power is 10 | number of threads is 2 | block size is 64,,,
elapsed time = 825.65 | seconds power is 11 | number of threads is 2 | block size is 64,,,
elapsed time = 835.58 | seconds power is 12 | number of threads is 2 | block size is 64,,,
elapsed time = 845.51 | seconds power is 13 | number of threads is 2 | block size is 64,,,
elapsed time = 855.43 | seconds power is 14 | number of threads is 2 | block size is 64,,,
elapsed time = 865.35 | seconds power is 15 | number of threads is 2 | block size is 64,,,
elapsed time = 875.28 | seconds power is 16 | number of threads is 2 | block size is 64,,,
2048 2 thread done,,,
elapsed time = 8.51 | seconds power is 2 | number of threads is 4 | block size is 4,,,
elapsed time = 16.83 | seconds power is 3 | number of threads is 4 | block size is 4,,,
elapsed time = 25.13 | seconds power is 4 | number of threads is 4 | block size is 4,,,
elapsed time = 33.44 | seconds power is 5 | number of threads is 4 | block size is 4,,,
elapsed time = 41.75 | seconds power is 6 | number of threads is 4 | block size is 4,,,
elapsed time = 50.06 | seconds power is 7 | number of threads is 4 | block size is 4,,,
elapsed time = 58.36 | seconds power is 8 | number of threads is 4 | block size is 4,,,
elapsed time = 66.67 | seconds power is 9 | number of threads is 4 | block size is 4,,,
elapsed time = 74.97 | seconds power is 10 | number of threads is 4 | block size is 4,,,
elapsed time = 83.27 | seconds power is 11 | number of threads is 4 | block size is 4,,,
elapsed time = 91.56 | seconds power is 12 | number of threads is 4 | block size is 4,,,
elapsed time = 99.86 | seconds power is 13 | number of threads is 4 | block size is 4,,,
elapsed time = 108.17 | seconds power is 14 | number of threads is 4 | block size is 4,,,
elapsed time = 116.48 | seconds power is 15 | number of threads is 4 | block size is 4,,,
elapsed time = 124.80 | seconds power is 16 | number of threads is 4 | block size is 4,,,
elapsed time = 130.46 | seconds power is 2 | number of threads is 4 | block size is 8,,,
elapsed time = 136.06 | seconds power is 3 | number of threads is 4 | block size is 8,,,
elapsed time = 141.59 | seconds power is 4 | number of threads is 4 | block size is 8,,,
elapsed time = 147.18 | seconds power is 5 | number of threads is 4 | block size is 8,,,
elapsed time = 152.76 | seconds power is 6 | number of threads is 4 | block size is 8,,,
elapsed time = 158.38 | seconds power is 7 | number of threads is 4 | block size is 8,,,
elapsed time = 163.95 | seconds power is 8 | number of threads is 4 | block size is 8,,,
elapsed time = 169.47 | seconds power is 9 | number of threads is 4 | block size is 8,,,
elapsed time = 175.05 | seconds power is 10 | number of threads is 4 | block size is 8,,,
elapsed time = 180.62 | seconds power is 11 | number of threads is 4 | block size is 8,,,
elapsed time = 186.22 | seconds power is 12 | number of threads is 4 | block size is 8,,,
elapsed time = 191.83 | seconds power is 13 | number of threads is 4 | block size is 8,,,
elapsed time = 197.44 | seconds power is 14 | number of threads is 4 | block size is 8,,,
elapsed time = 203.06 | seconds power is 15 | number of threads is 4 | block size is 8,,,
elapsed time = 208.72 | seconds power is 16 | number of threads is 4 | block size is 8,,,
elapsed time = 214.15 | seconds power is 2 | number of threads is 4 | block size is 16,,,
elapsed time = 219.55 | seconds power is 3 | number of threads is 4 | block size is 16,,,
