2048x2048 bmm 2,,,
elapsed time,power,no of threads,
32.99,2,1, block size is 4
66.5,3,1, block size is 4
98.63,4,1, block size is 4
130.51,5,1, block size is 4
162.46,6,1, block size is 4
194.11,7,1, block size is 4
226.18,8,1, block size is 4
257.96,9,1, block size is 4
289.93,10,1, block size is 4
321.86,11,1, block size is 4
353.79,12,1, block size is 4
385.55,13,1, block size is 4
417.58,14,1, block size is 4
449.39,15,1, block size is 4
481.12,16,1, block size is 4
502.89,2,1, block size is 8
524.67,3,1, block size is 8
546.47,4,1, block size is 8
568.28,5,1, block size is 8
590.06,6,1, block size is 8
611.84,7,1, block size is 8
633.65,8,1, block size is 8
655.42,9,1, block size is 8
677.2,10,1, block size is 8
698.99,11,1, block size is 8
720.81,12,1, block size is 8
742.61,13,1, block size is 8
764.4,14,1, block size is 8
786.2,15,1, block size is 8
807.98,16,1, block size is 8
828.34,2,1, block size is 16
848.71,3,1, block size is 16
869.08,4,1, block size is 16
889.45,5,1, block size is 16
909.83,6,1, block size is 16
930.2,7,1, block size is 16
950.57,8,1, block size is 16
970.95,9,1, block size is 16
991.35,10,1, block size is 16
1011.71,11,1, block size is 16
1032.11,12,1, block size is 16
1052.49,13,1, block size is 16
1072.87,14,1, block size is 16
1093.23,15,1, block size is 16
1113.6,16,1, block size is 16
1133.94,2,1, block size is 32
1154.28,3,1, block size is 32
1174.62,4,1, block size is 32
1194.96,5,1, block size is 32
1215.34,6,1, block size is 32
1235.68,7,1, block size is 32
1256.03,8,1, block size is 32
1276.37,9,1, block size is 32
1296.71,10,1, block size is 32
1317.05,11,1, block size is 32
1337.4,12,1, block size is 32
1357.74,13,1, block size is 32
1378.1,14,1, block size is 32
1398.44,15,1, block size is 32
1418.78,16,1, block size is 32
1438.66,2,1, block size is 64
1458.54,3,1, block size is 64
1478.41,4,1, block size is 64
1498.28,5,1, block size is 64
1518.15,6,1, block size is 64
1538.01,7,1, block size is 64
1557.88,8,1, block size is 64
1577.74,9,1, block size is 64
1597.62,10,1, block size is 64
1617.48,11,1, block size is 64
1637.34,12,1, block size is 64
1657.21,13,1, block size is 64
1677.07,14,1, block size is 64
1696.93,15,1, block size is 64
1716.79,16,1, block size is 64
2048 1 thread done,,,
17.47,2,2, block size is 4
35.5,3,2, block size is 4
53.53,4,2, block size is 4
71.56,5,2, block size is 4
89.57,6,2, block size is 4
106.81,7,2, block size is 4
123.9,8,2, block size is 4
140.99,9,2, block size is 4
158.08,10,2, block size is 4
175.16,11,2, block size is 4
192.26,12,2, block size is 4
209.34,13,2, block size is 4
226.43,14,2, block size is 4
243.51,15,2, block size is 4
260.59,16,2, block size is 4
270.98,2,2, block size is 8
281.38,3,2, block size is 8
291.77,4,2, block size is 8
302.16,5,2, block size is 8
312.56,6,2, block size is 8
322.95,7,2, block size is 8
333.35,8,2, block size is 8
343.74,9,2, block size is 8
354.12,10,2, block size is 8
364.51,11,2, block size is 8
374.91,12,2, block size is 8
385.3,13,2, block size is 8
395.69,14,2, block size is 8
406.08,15,2, block size is 8
416.48,16,2, block size is 8
426.37,2,2, block size is 16
436.25,3,2, block size is 16
446.14,4,2, block size is 16
456.02,5,2, block size is 16
465.91,6,2, block size is 16
475.79,7,2, block size is 16
485.67,8,2, block size is 16
495.56,9,2, block size is 16
505.45,10,2, block size is 16
515.33,11,2, block size is 16
525.22,12,2, block size is 16
535.11,13,2, block size is 16
545.01,14,2, block size is 16
554.93,15,2, block size is 16
564.83,16,2, block size is 16
574.97,2,2, block size is 32
585.13,3,2, block size is 32
595.29,4,2, block size is 32
605.44,5,2, block size is 32
615.61,6,2, block size is 32
625.76,7,2, block size is 32
635.89,8,2, block size is 32
646.04,9,2, block size is 32
656.18,10,2, block size is 32
666.32,11,2, block size is 32
676.48,12,2, block size is 32
686.62,13,2, block size is 32
