2048x2048 omm transpose 1,,
elapsed time,power,no of threads
2048 1 thread done,,
31.3,2,2
62.5,3,2
93.7,4,2
125.26,5,2
156.52,6,2
187.78,7,2
218.96,8,2
250.13,9,2
281.36,10,2
312.63,11,2
343.97,12,2
375.16,13,2
406.38,14,2
437.97,15,2
469.43,16,2
2048 2 thread done,,
15.72,2,4
31.42,3,4
47.11,4,4
62.84,5,4
78.51,6,4
94.16,7,4
109.81,8,4
125.44,9,4
141.09,10,4
156.73,11,4
172.38,12,4
188.02,13,4
203.67,14,4
219.31,15,4
234.95,16,4
2048 4 thread done,,
10.48,2,6
20.95,3,6
31.56,4,6
42.15,5,6
52.84,6,6
63.49,7,6
74.17,8,6
84.83,9,6
95.48,10,6
106.12,11,6
116.77,12,6
127.44,13,6
138.1,14,6
148.75,15,6
159.46,16,6
2048 6 thread done,,
8.42,2,8
17.21,3,8
25.85,4,8
34.51,5,8
43,6,8
51.6,7,8
60.24,8,8
68.99,9,8
77.65,10,8
86.2,11,8
94.72,12,8
103.16,13,8
111.62,14,8
120.04,15,8
128.53,16,8
2048 8 thread done,,
6.61,2,10
13.51,3,10
20.34,4,10
27.04,5,10
33.5,6,10
39.91,7,10
46.66,8,10
53.15,9,10
60.12,10,10
66.63,11,10
73.32,12,10
80.06,13,10
86.76,14,10
93.09,15,10
99.57,16,10
2048 10 thread done,,
6.46,2,12
12.82,3,12
19.23,4,12
25.64,5,12
32.01,6,12
38.37,7,12
44.75,8,12
51.14,9,12
57.49,10,12
63.79,11,12
70.1,12,12
76.57,13,12
82.92,14,12
89.2,15,12
95.6,16,12
2048 12 thread done,,
6.4,2,14
12.43,3,14
18.84,4,14
24.38,5,14
30.71,6,14
36.67,7,14
42.27,8,14
48.6,9,14
54.39,10,14
60.11,11,14
66.43,12,14
72.51,13,14
78.62,14,14
84.6,15,14
90.72,16,14
2048 14 thread done,,
5.25,2,16
11.23,3,16
16.71,4,16
22.22,5,16
27.95,6,16
33.12,7,16
38.33,8,16
43.71,9,16
48.85,10,16
54.05,11,16
59.7,12,16
64.76,13,16
70.57,14,16
75.9,15,16
81.61,16,16
2048 16 thread done,,
