2048x2048 omm transpose 2,,
elapsed time,power,no of threads
60.8,2,1
121.27,3,1
181.63,4,1
242.1,5,1
302.85,6,1
363.68,7,1
424.14,8,1
484.37,9,1
544.9,10,1
605.5,11,1
666.5,12,1
726.56,13,1
786.95,14,1
847.47,15,1
907.74,16,1
512 1 thread done,,
32.23,2,2
64.78,3,2
96.92,4,2
128.95,5,2
161.49,6,2
193.64,7,2
225.75,8,2
257.88,9,2
289.94,10,2
322.05,11,2
354.18,12,2
386.28,13,2
418.39,14,2
450.53,15,2
483.05,16,2
512 2 thread done,,
16.24,2,4
32.26,3,4
48.28,4,4
64.26,5,4
80.25,6,4
96.29,7,4
112.36,8,4
128.44,9,4
144.5,10,4
160.58,11,4
176.74,12,4
192.93,13,4
209.02,14,4
225.11,15,4
241.22,16,4
512 4 thread done,,
10.93,2,6
21.93,3,6
32.97,4,6
44.02,5,6
55.15,6,6
66.43,7,6
77.75,8,6
88.88,9,6
100.01,10,6
111.13,11,6
122.22,12,6
133.29,13,6
144.35,14,6
155.44,15,6
166.53,16,6
512 6 thread done,,
8.71,2,8
17.44,3,8
26.13,4,8
34.81,5,8
43.5,6,8
52.19,7,8
60.85,8,8
69.51,9,8
78.2,10,8
86.9,11,8
95.59,12,8
104.27,13,8
112.91,14,8
121.57,15,8
130.27,16,8
512 8 thread done,,
6.66,2,10
13.34,3,10
20.15,4,10
27.18,5,10
34.12,6,10
40.91,7,10
47.88,8,10
54.64,9,10
61.66,10,10
68.34,11,10
75.36,12,10
82.12,13,10
89.19,14,10
96.02,15,10
103.01,16,10
512 10 thread done,,
6.62,2,12
13.22,3,12
19.74,4,12
26.35,5,12
32.99,6,12
39.61,7,12
46.21,8,12
52.81,9,12
59.4,10,12
66.17,11,12
72.73,12,12
79.34,13,12
85.9,14,12
92.5,15,12
99.14,16,12
512 12 thread done,,
5.96,2,14
12.39,3,14
18.85,4,14
24.78,5,14
30.94,6,14
37.92,7,14
44.46,8,14
50.54,9,14
56.37,10,14
62.24,11,14
68.11,12,14
74.86,13,14
81.23,14,14
87.2,15,14
93.58,16,14
512 14 thread done,,
6.17,2,16
11.58,3,16
17.28,4,16
23.38,5,16
28.79,6,16
34.2,7,16
39.83,8,16
45.94,9,16
51.51,10,16
57.59,11,16
63.38,12,16
69.23,13,16
74.94,14,16
80.78,15,16
87.02,16,16
512 16 thread done,,
