512x512 bmm transpose 0,,,
Elapsed time,Power,No of threads,Block size
0.38,2,1,4
0.73,3,1,4
1.08,4,1,4
1.42,5,1,4
1.77,6,1,4
2.11,7,1,4
2.46,8,1,4
2.8,9,1,4
3.15,10,1,4
3.49,11,1,4
3.84,12,1,4
4.18,13,1,4
4.53,14,1,4
4.88,15,1,4
5.22,16,1,4
5.53,2,1,8
5.84,3,1,8
6.16,4,1,8
6.47,5,1,8
6.78,6,1,8
7.1,7,1,8
7.41,8,1,8
7.72,9,1,8
8.03,10,1,8
8.34,11,1,8
8.66,12,1,8
8.97,13,1,8
9.28,14,1,8
9.6,15,1,8
9.91,16,1,8
10.21,2,1,16
10.5,3,1,16
10.8,4,1,16
11.1,5,1,16
11.39,6,1,16
11.69,7,1,16
11.98,8,1,16
12.28,9,1,16
12.57,10,1,16
12.87,11,1,16
13.16,12,1,16
13.46,13,1,16
13.75,14,1,16
14.05,15,1,16
14.35,16,1,16
14.64,2,1,32
14.94,3,1,32
15.24,4,1,32
15.54,5,1,32
15.83,6,1,32
16.13,7,1,32
16.43,8,1,32
16.72,9,1,32
17.02,10,1,32
17.32,11,1,32
17.62,12,1,32
17.92,13,1,32
18.21,14,1,32
18.51,15,1,32
18.81,16,1,32
19.1,2,1,64
19.38,3,1,64
19.67,4,1,64
19.96,5,1,64
20.24,6,1,64
20.53,7,1,64
20.82,8,1,64
21.11,9,1,64
21.4,10,1,64
21.68,11,1,64
21.97,12,1,64
22.26,13,1,64
22.54,14,1,64
22.83,15,1,64
23.12,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.53,4,2,4
0.71,5,2,4
0.88,6,2,4
1.05,7,2,4
1.23,8,2,4
1.4,9,2,4
1.57,10,2,4
1.75,11,2,4
1.92,12,2,4
2.1,13,2,4
2.27,14,2,4
2.45,15,2,4
2.62,16,2,4
2.78,2,2,8
2.94,3,2,8
3.09,4,2,8
3.26,5,2,8
3.42,6,2,8
3.57,7,2,8
3.73,8,2,8
3.89,9,2,8
4.04,10,2,8
4.2,11,2,8
4.36,12,2,8
4.52,13,2,8
4.67,14,2,8
4.83,15,2,8
4.99,16,2,8
5.14,2,2,16
5.29,3,2,16
5.43,4,2,16
5.58,5,2,16
5.73,6,2,16
5.88,7,2,16
6.03,8,2,16
6.18,9,2,16
6.33,10,2,16
6.47,11,2,16
6.62,12,2,16
6.77,13,2,16
6.92,14,2,16
7.07,15,2,16
7.22,16,2,16
7.36,2,2,32
7.51,3,2,32
7.66,4,2,32
7.81,5,2,32
7.96,6,2,32
8.11,7,2,32
8.26,8,2,32
8.41,9,2,32
8.56,10,2,32
8.71,11,2,32
8.86,12,2,32
9,13,2,32
9.15,14,2,32
9.3,15,2,32
9.45,16,2,32
9.6,2,2,64
9.74,3,2,64
9.88,4,2,64
10.03,5,2,64
10.17,6,2,64
10.32,7,2,64
10.46,8,2,64
10.61,9,2,64
10.75,10,2,64
10.89,11,2,64
11.04,12,2,64
11.18,13,2,64
11.33,14,2,64
11.47,15,2,64
11.61,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.64,8,4,4
0.73,9,4,4
0.82,10,4,4
0.91,11,4,4
1,12,4,4
1.09,13,4,4
1.18,14,4,4
1.27,15,4,4
1.36,16,4,4
1.44,2,4,8
1.52,3,4,8
1.6,4,4,8
1.68,5,4,8
1.76,6,4,8
1.84,7,4,8
1.92,8,4,8
2,9,4,8
2.08,10,4,8
2.16,11,4,8
2.24,12,4,8
2.32,13,4,8
2.4,14,4,8
2.49,15,4,8
2.57,16,4,8
2.64,2,4,16
2.72,3,4,16
2.79,4,4,16
2.87,5,4,16
2.95,6,4,16
3.02,7,4,16
3.1,8,4,16
3.18,9,4,16
3.25,10,4,16
3.33,11,4,16
3.41,12,4,16
3.48,13,4,16
3.56,14,4,16
3.63,15,4,16
3.71,16,4,16
3.79,2,4,32
3.86,3,4,32
3.94,4,4,32
4.02,5,4,32
4.09,6,4,32
4.17,7,4,32
4.25,8,4,32
4.32,9,4,32
4.4,10,4,32
4.47,11,4,32
4.55,12,4,32
4.63,13,4,32
4.7,14,4,32
4.78,15,4,32
4.86,16,4,32
4.93,2,4,64
5,3,4,64
5.08,4,4,64
5.15,5,4,64
5.23,6,4,64
5.3,7,4,64
5.37,8,4,64
5.45,9,4,64
5.52,10,4,64
5.6,11,4,64
5.67,12,4,64
5.74,13,4,64
5.82,14,4,64
5.89,15,4,64
5.97,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.14,3,6,4
0.2,4,6,4
0.27,5,6,4
0.33,6,6,4
0.39,7,6,4
0.46,8,6,4
0.52,9,6,4
0.59,10,6,4
0.65,11,6,4
0.71,12,6,4
0.78,13,6,4
0.84,14,6,4
0.91,15,6,4
0.97,16,6,4
1.02,2,6,8
1.08,3,6,8
1.14,4,6,8
1.19,5,6,8
1.25,6,6,8
1.31,7,6,8
1.37,8,6,8
1.42,9,6,8
1.48,10,6,8
1.54,11,6,8
1.6,12,6,8
1.65,13,6,8
1.71,14,6,8
1.77,15,6,8
1.82,16,6,8
1.88,2,6,16
1.94,3,6,16
2,4,6,16
2.06,5,6,16
2.12,6,6,16
2.17,7,6,16
2.23,8,6,16
2.29,9,6,16
2.35,10,6,16
2.41,11,6,16
2.47,12,6,16
2.53,13,6,16
2.58,14,6,16
2.64,15,6,16
2.7,16,6,16
2.76,2,6,32
2.82,3,6,32
2.88,4,6,32
2.94,5,6,32
2.99,6,6,32
3.05,7,6,32
3.11,8,6,32
3.17,9,6,32
3.23,10,6,32
3.29,11,6,32
3.35,12,6,32
3.4,13,6,32
3.46,14,6,32
3.52,15,6,32
3.58,16,6,32
3.65,2,6,64
3.73,3,6,64
3.8,4,6,64
3.88,5,6,64
3.95,6,6,64
4.02,7,6,64
4.1,8,6,64
4.17,9,6,64
4.25,10,6,64
4.32,11,6,64
4.4,12,6,64
4.47,13,6,64
4.54,14,6,64
4.62,15,6,64
4.69,16,6,64
512 6 thread done,,,
0.06,2,8,4
0.11,3,8,4
0.16,4,8,4
0.21,5,8,4
0.26,6,8,4
0.32,7,8,4
0.37,8,8,4
0.42,9,8,4
0.47,10,8,4
0.52,11,8,4
0.57,12,8,4
0.62,13,8,4
0.67,14,8,4
0.72,15,8,4
0.78,16,8,4
0.82,2,8,8
0.87,3,8,8
0.91,4,8,8
0.96,5,8,8
1,6,8,8
1.05,7,8,8
1.09,8,8,8
1.14,9,8,8
1.19,10,8,8
1.23,11,8,8
1.28,12,8,8
1.32,13,8,8
1.37,14,8,8
1.41,15,8,8
1.46,16,8,8
1.5,2,8,16
1.55,3,8,16
1.59,4,8,16
1.63,5,8,16
1.68,6,8,16
1.72,7,8,16
1.76,8,8,16
1.81,9,8,16
1.85,10,8,16
1.89,11,8,16
1.94,12,8,16
1.98,13,8,16
2.02,14,8,16
2.06,15,8,16
2.11,16,8,16
2.15,2,8,32
2.19,3,8,32
2.24,4,8,32
2.28,5,8,32
2.32,6,8,32
2.37,7,8,32
2.41,8,8,32
2.45,9,8,32
2.5,10,8,32
2.54,11,8,32
2.58,12,8,32
2.63,13,8,32
2.67,14,8,32
2.71,15,8,32
2.76,16,8,32
2.8,2,8,64
2.84,3,8,64
2.88,4,8,64
2.92,5,8,64
2.97,6,8,64
3.01,7,8,64
3.05,8,8,64
3.09,9,8,64
3.13,10,8,64
3.17,11,8,64
3.22,12,8,64
3.26,13,8,64
3.3,14,8,64
3.34,15,8,64
3.38,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.13,3,10,4
0.19,4,10,4
0.26,5,10,4
0.32,6,10,4
0.39,7,10,4
0.45,8,10,4
0.51,9,10,4
0.58,10,10,4
0.64,11,10,4
0.71,12,10,4
0.77,13,10,4
0.84,14,10,4
0.9,15,10,4
0.97,16,10,4
1.03,2,10,8
1.09,3,10,8
1.15,4,10,8
1.21,5,10,8
1.27,6,10,8
1.33,7,10,8
1.38,8,10,8
1.44,9,10,8
1.5,10,10,8
1.57,11,10,8
1.62,12,10,8
1.68,13,10,8
1.74,14,10,8
1.79,15,10,8
1.85,16,10,8
1.9,2,10,16
1.94,3,10,16
1.99,4,10,16
2.04,5,10,16
2.09,6,10,16
2.14,7,10,16
2.19,8,10,16
2.24,9,10,16
2.29,10,10,16
2.34,11,10,16
2.39,12,10,16
2.44,13,10,16
2.48,14,10,16
2.53,15,10,16
2.58,16,10,16
2.65,2,10,32
2.7,3,10,32
2.74,4,10,32
2.79,5,10,32
2.83,6,10,32
2.88,7,10,32
2.92,8,10,32
2.97,9,10,32
3.01,10,10,32
3.06,11,10,32
3.1,12,10,32
3.15,13,10,32
3.19,14,10,32
3.24,15,10,32
3.28,16,10,32
3.34,2,10,64
3.39,3,10,64
3.43,4,10,64
3.47,5,10,64
3.51,6,10,64
3.55,7,10,64
3.6,8,10,64
3.64,9,10,64
3.68,10,10,64
3.72,11,10,64
3.76,12,10,64
3.8,13,10,64
3.85,14,10,64
3.89,15,10,64
3.93,16,10,64
512 10 thread done,,,
0.07,2,12,4
0.12,3,12,4
0.18,4,12,4
0.24,5,12,4
0.29,6,12,4
0.35,7,12,4
0.41,8,12,4
0.47,9,12,4
0.52,10,12,4
0.58,11,12,4
0.64,12,12,4
0.7,13,12,4
0.76,14,12,4
0.82,15,12,4
0.88,16,12,4
0.93,2,12,8
0.98,3,12,8
1.04,4,12,8
1.09,5,12,8
1.15,6,12,8
1.2,7,12,8
1.25,8,12,8
1.31,9,12,8
1.36,10,12,8
1.41,11,12,8
1.47,12,12,8
1.52,13,12,8
1.57,14,12,8
1.63,15,12,8
1.68,16,12,8
1.73,2,12,16
1.78,3,12,16
1.83,4,12,16
1.88,5,12,16
1.93,6,12,16
1.98,7,12,16
2.03,8,12,16
2.08,9,12,16
2.13,10,12,16
2.18,11,12,16
2.23,12,12,16
2.28,13,12,16
2.33,14,12,16
2.38,15,12,16
2.43,16,12,16
2.48,2,12,32
2.52,3,12,32
2.57,4,12,32
2.61,5,12,32
2.66,6,12,32
2.7,7,12,32
2.75,8,12,32
2.79,9,12,32
2.84,10,12,32
2.88,11,12,32
2.93,12,12,32
2.97,13,12,32
3.02,14,12,32
3.07,15,12,32
3.11,16,12,32
3.17,2,12,64
3.24,3,12,64
3.3,4,12,64
3.37,5,12,64
3.44,6,12,64
3.5,7,12,64
3.56,8,12,64
3.62,9,12,64
3.69,10,12,64
3.75,11,12,64
3.81,12,12,64
3.88,13,12,64
3.94,14,12,64
4,15,12,64
4.07,16,12,64
512 12 thread done,,,
0.09,2,14,4
0.15,3,14,4
0.2,4,14,4
0.26,5,14,4
0.32,6,14,4
0.38,7,14,4
0.44,8,14,4
0.5,9,14,4
0.55,10,14,4
0.61,11,14,4
0.67,12,14,4
0.73,13,14,4
0.79,14,14,4
0.85,15,14,4
0.91,16,14,4
0.97,2,14,8
1.03,3,14,8
1.08,4,14,8
1.14,5,14,8
1.19,6,14,8
1.25,7,14,8
1.3,8,14,8
1.36,9,14,8
1.42,10,14,8
1.47,11,14,8
1.52,12,14,8
1.58,13,14,8
1.64,14,14,8
1.69,15,14,8
1.74,16,14,8
1.8,2,14,16
1.86,3,14,16
1.91,4,14,16
1.97,5,14,16
2.03,6,14,16
2.08,7,14,16
2.14,8,14,16
2.2,9,14,16
2.26,10,14,16
2.32,11,14,16
2.37,12,14,16
2.43,13,14,16
2.49,14,14,16
2.54,15,14,16
2.61,16,14,16
2.67,2,14,32
2.74,3,14,32
2.8,4,14,32
2.87,5,14,32
2.93,6,14,32
3,7,14,32
3.07,8,14,32
3.13,9,14,32
3.19,10,14,32
3.26,11,14,32
3.32,12,14,32
3.39,13,14,32
3.46,14,14,32
3.52,15,14,32
3.59,16,14,32
3.65,2,14,64
3.71,3,14,64
3.76,4,14,64
3.81,5,14,64
3.86,6,14,64
3.91,7,14,64
3.95,8,14,64
4,9,14,64
4.04,10,14,64
4.09,11,14,64
4.13,12,14,64
4.18,13,14,64
4.24,14,14,64
4.32,15,14,64
4.38,16,14,64
512 14 thread done,,,
0.06,2,16,4
0.11,3,16,4
0.16,4,16,4
0.22,5,16,4
0.27,6,16,4
0.32,7,16,4
0.37,8,16,4
0.42,9,16,4
0.47,10,16,4
0.52,11,16,4
0.57,12,16,4
0.62,13,16,4
0.67,14,16,4
0.72,15,16,4
0.77,16,16,4
0.82,2,16,8
0.86,3,16,8
0.91,4,16,8
0.96,5,16,8
1,6,16,8
1.06,7,16,8
1.1,8,16,8
1.15,9,16,8
1.2,10,16,8
1.24,11,16,8
1.29,12,16,8
1.34,13,16,8
1.38,14,16,8
1.43,15,16,8
1.48,16,16,8
1.52,2,16,16
1.57,3,16,16
1.61,4,16,16
1.66,5,16,16
1.71,6,16,16
1.75,7,16,16
1.8,8,16,16
1.84,9,16,16
1.89,10,16,16
1.94,11,16,16
1.98,12,16,16
2.03,13,16,16
2.08,14,16,16
2.12,15,16,16
2.17,16,16,16
2.22,2,16,32
2.26,3,16,32
2.31,4,16,32
2.35,5,16,32
2.4,6,16,32
2.45,7,16,32
2.49,8,16,32
2.54,9,16,32
2.59,10,16,32
2.63,11,16,32
2.68,12,16,32
2.72,13,16,32
2.77,14,16,32
2.82,15,16,32
2.87,16,16,32
2.93,2,16,64
2.99,3,16,64
3.04,4,16,64
3.1,5,16,64
3.16,6,16,64
3.22,7,16,64
3.26,8,16,64
3.31,9,16,64
3.35,10,16,64
3.4,11,16,64
3.45,12,16,64
3.49,13,16,64
3.54,14,16,64
3.58,15,16,64
3.63,16,16,64
512 16 thread done,,,
