512x512 bmm transpose 4,,,
Elapsed time,Power,No of threads,Block size
0.36,2,1,4
0.71,3,1,4
1.05,4,1,4
1.4,5,1,4
1.75,6,1,4
2.09,7,1,4
2.44,8,1,4
2.78,9,1,4
3.13,10,1,4
3.47,11,1,4
3.82,12,1,4
4.16,13,1,4
4.51,14,1,4
4.86,15,1,4
5.2,16,1,4
5.51,2,1,8
5.83,3,1,8
6.14,4,1,8
6.45,5,1,8
6.77,6,1,8
7.09,7,1,8
7.41,8,1,8
7.74,9,1,8
8.05,10,1,8
8.37,11,1,8
8.68,12,1,8
8.99,13,1,8
9.31,14,1,8
9.62,15,1,8
9.93,16,1,8
10.23,2,1,16
10.52,3,1,16
10.82,4,1,16
11.11,5,1,16
11.41,6,1,16
11.71,7,1,16
12,8,1,16
12.3,9,1,16
12.59,10,1,16
12.89,11,1,16
13.18,12,1,16
13.48,13,1,16
13.78,14,1,16
14.07,15,1,16
14.37,16,1,16
14.66,2,1,32
14.96,3,1,32
15.26,4,1,32
15.55,5,1,32
15.85,6,1,32
16.15,7,1,32
16.44,8,1,32
16.74,9,1,32
17.04,10,1,32
17.33,11,1,32
17.63,12,1,32
17.93,13,1,32
18.23,14,1,32
18.52,15,1,32
18.82,16,1,32
19.11,2,1,64
19.4,3,1,64
19.68,4,1,64
19.97,5,1,64
20.26,6,1,64
20.54,7,1,64
20.83,8,1,64
21.12,9,1,64
21.41,10,1,64
21.69,11,1,64
21.98,12,1,64
22.27,13,1,64
22.55,14,1,64
22.84,15,1,64
23.13,16,1,64
512 1 thread done,,,
0.19,2,2,4
0.37,3,2,4
0.54,4,2,4
0.72,5,2,4
0.89,6,2,4
1.07,7,2,4
1.24,8,2,4
1.41,9,2,4
1.59,10,2,4
1.76,11,2,4
1.94,12,2,4
2.11,13,2,4
2.28,14,2,4
2.46,15,2,4
2.63,16,2,4
2.79,2,2,8
2.95,3,2,8
3.1,4,2,8
3.26,5,2,8
3.42,6,2,8
3.58,7,2,8
3.73,8,2,8
3.89,9,2,8
4.05,10,2,8
4.21,11,2,8
4.37,12,2,8
4.52,13,2,8
4.68,14,2,8
4.84,15,2,8
5,16,2,8
5.15,2,2,16
5.3,3,2,16
5.44,4,2,16
5.59,5,2,16
5.74,6,2,16
5.89,7,2,16
6.04,8,2,16
6.19,9,2,16
6.34,10,2,16
6.48,11,2,16
6.63,12,2,16
6.78,13,2,16
6.93,14,2,16
7.08,15,2,16
7.23,16,2,16
7.38,2,2,32
7.53,3,2,32
7.68,4,2,32
7.82,5,2,32
7.97,6,2,32
8.12,7,2,32
8.27,8,2,32
8.42,9,2,32
8.57,10,2,32
8.72,11,2,32
8.87,12,2,32
9.02,13,2,32
9.17,14,2,32
9.32,15,2,32
9.46,16,2,32
9.61,2,2,64
9.75,3,2,64
9.9,4,2,64
10.04,5,2,64
10.19,6,2,64
10.33,7,2,64
10.48,8,2,64
10.62,9,2,64
10.77,10,2,64
10.91,11,2,64
11.05,12,2,64
11.2,13,2,64
11.34,14,2,64
11.49,15,2,64
11.63,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.64,8,4,4
0.73,9,4,4
0.82,10,4,4
0.91,11,4,4
0.99,12,4,4
1.08,13,4,4
1.17,14,4,4
1.26,15,4,4
1.35,16,4,4
1.43,2,4,8
1.51,3,4,8
1.59,4,4,8
1.67,5,4,8
1.76,6,4,8
1.84,7,4,8
1.92,8,4,8
2,9,4,8
2.08,10,4,8
2.16,11,4,8
2.24,12,4,8
2.32,13,4,8
2.4,14,4,8
2.48,15,4,8
2.56,16,4,8
2.64,2,4,16
2.72,3,4,16
2.79,4,4,16
2.87,5,4,16
2.95,6,4,16
3.02,7,4,16
3.1,8,4,16
3.17,9,4,16
3.25,10,4,16
3.33,11,4,16
3.4,12,4,16
3.48,13,4,16
3.55,14,4,16
3.63,15,4,16
3.71,16,4,16
3.78,2,4,32
3.86,3,4,32
3.94,4,4,32
4.01,5,4,32
4.09,6,4,32
4.16,7,4,32
4.24,8,4,32
4.32,9,4,32
4.39,10,4,32
4.47,11,4,32
4.55,12,4,32
4.62,13,4,32
4.7,14,4,32
4.78,15,4,32
4.85,16,4,32
4.93,2,4,64
5,3,4,64
5.07,4,4,64
5.15,5,4,64
5.22,6,4,64
5.29,7,4,64
5.37,8,4,64
5.44,9,4,64
5.52,10,4,64
5.59,11,4,64
5.66,12,4,64
5.74,13,4,64
5.81,14,4,64
5.89,15,4,64
5.96,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.14,3,6,4
0.2,4,6,4
0.26,5,6,4
0.32,6,6,4
0.39,7,6,4
0.45,8,6,4
0.51,9,6,4
0.58,10,6,4
0.64,11,6,4
0.7,12,6,4
0.77,13,6,4
0.83,14,6,4
0.89,15,6,4
0.96,16,6,4
1.01,2,6,8
1.07,3,6,8
1.13,4,6,8
1.18,5,6,8
1.24,6,6,8
1.3,7,6,8
1.36,8,6,8
1.42,9,6,8
1.47,10,6,8
1.53,11,6,8
1.59,12,6,8
1.65,13,6,8
1.7,14,6,8
1.76,15,6,8
1.82,16,6,8
1.88,2,6,16
1.94,3,6,16
2,4,6,16
2.06,5,6,16
2.11,6,6,16
2.17,7,6,16
2.23,8,6,16
2.29,9,6,16
2.35,10,6,16
2.41,11,6,16
2.47,12,6,16
2.52,13,6,16
2.58,14,6,16
2.65,15,6,16
2.71,16,6,16
2.78,2,6,32
2.85,3,6,32
2.91,4,6,32
2.98,5,6,32
3.06,6,6,32
3.18,7,6,32
3.25,8,6,32
3.31,9,6,32
3.37,10,6,32
3.44,11,6,32
3.5,12,6,32
3.57,13,6,32
3.63,14,6,32
3.69,15,6,32
3.76,16,6,32
3.84,2,6,64
3.92,3,6,64
3.99,4,6,64
4.07,5,6,64
4.15,6,6,64
4.22,7,6,64
4.3,8,6,64
4.38,9,6,64
4.46,10,6,64
4.53,11,6,64
4.61,12,6,64
4.69,13,6,64
4.76,14,6,64
4.84,15,6,64
4.92,16,6,64
512 6 thread done,,,
0.06,2,8,4
0.11,3,8,4
0.17,4,8,4
0.23,5,8,4
0.29,6,8,4
0.34,7,8,4
0.4,8,8,4
0.46,9,8,4
0.52,10,8,4
0.58,11,8,4
0.63,12,8,4
0.69,13,8,4
0.75,14,8,4
0.81,15,8,4
0.86,16,8,4
0.92,2,8,8
0.97,3,8,8
1.02,4,8,8
1.07,5,8,8
1.12,6,8,8
1.17,7,8,8
1.22,8,8,8
1.28,9,8,8
1.33,10,8,8
1.38,11,8,8
1.43,12,8,8
1.48,13,8,8
1.53,14,8,8
1.59,15,8,8
1.64,16,8,8
1.69,2,8,16
1.74,3,8,16
1.78,4,8,16
1.83,5,8,16
1.88,6,8,16
1.93,7,8,16
1.98,8,8,16
2.03,9,8,16
2.08,10,8,16
2.13,11,8,16
2.18,12,8,16
2.22,13,8,16
2.27,14,8,16
2.32,15,8,16
2.37,16,8,16
