512X512 BMM ,,,
Elapsed time,Power,Number of threads,Block size
0.35,2,1,4
0.7,3,1,4
1.04,4,1,4
1.39,5,1,4
1.73,6,1,4
2.08,7,1,4
2.42,8,1,4
2.76,9,1,4
3.11,10,1,4
3.45,11,1,4
3.8,12,1,4
4.14,13,1,4
4.49,14,1,4
4.83,15,1,4
5.18,16,1,4
5.49,2,1,8
5.8,3,1,8
6.12,4,1,8
6.43,5,1,8
6.74,6,1,8
7.05,7,1,8
7.37,8,1,8
7.68,9,1,8
7.99,10,1,8
8.3,11,1,8
8.62,12,1,8
8.93,13,1,8
9.24,14,1,8
9.56,15,1,8
9.87,16,1,8
10.16,2,1,16
10.46,3,1,16
10.76,4,1,16
11.05,5,1,16
11.35,6,1,16
11.64,7,1,16
11.94,8,1,16
12.24,9,1,16
12.53,10,1,16
12.83,11,1,16
13.12,12,1,16
13.42,13,1,16
13.71,14,1,16
14.01,15,1,16
14.31,16,1,16
14.6,2,1,32
14.9,3,1,32
15.2,4,1,32
15.49,5,1,32
15.79,6,1,32
16.09,7,1,32
16.38,8,1,32
16.68,9,1,32
16.98,10,1,32
17.28,11,1,32
17.58,12,1,32
17.87,13,1,32
18.17,14,1,32
18.47,15,1,32
18.77,16,1,32
19.05,2,1,64
19.34,3,1,64
19.63,4,1,64
19.91,5,1,64
20.2,6,1,64
20.49,7,1,64
20.77,8,1,64
21.06,9,1,64
21.35,10,1,64
21.64,11,1,64
21.92,12,1,64
22.21,13,1,64
22.5,14,1,64
22.79,15,1,64
23.07,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.54,4,2,4
0.71,5,2,4
0.89,6,2,4
1.07,7,2,4
1.24,8,2,4
1.42,9,2,4
1.59,10,2,4
1.77,11,2,4
1.95,12,2,4
2.12,13,2,4
2.3,14,2,4
2.48,15,2,4
2.65,16,2,4
2.81,2,2,8
2.97,3,2,8
3.12,4,2,8
3.28,5,2,8
3.44,6,2,8
3.6,7,2,8
3.75,8,2,8
3.91,9,2,8
4.07,10,2,8
4.23,11,2,8
4.38,12,2,8
4.54,13,2,8
4.7,14,2,8
4.86,15,2,8
5.01,16,2,8
5.16,2,2,16
5.31,3,2,16
5.46,4,2,16
5.61,5,2,16
5.76,6,2,16
5.9,7,2,16
6.05,8,2,16
6.2,9,2,16
6.35,10,2,16
6.5,11,2,16
6.65,12,2,16
6.8,13,2,16
6.94,14,2,16
7.09,15,2,16
7.24,16,2,16
7.39,2,2,32
7.54,3,2,32
7.69,4,2,32
7.84,5,2,32
7.99,6,2,32
8.14,7,2,32
8.29,8,2,32
8.43,9,2,32
8.58,10,2,32
8.73,11,2,32
8.88,12,2,32
9.03,13,2,32
9.18,14,2,32
9.33,15,2,32
9.48,16,2,32
9.62,2,2,64
9.77,3,2,64
9.91,4,2,64
10.06,5,2,64
10.2,6,2,64
10.34,7,2,64
10.49,8,2,64
10.63,9,2,64
10.78,10,2,64
10.92,11,2,64
11.07,12,2,64
11.21,13,2,64
11.35,14,2,64
11.5,15,2,64
11.64,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.63,8,4,4
0.72,9,4,4
0.81,10,4,4
0.9,11,4,4
0.99,12,4,4
1.08,13,4,4
1.17,14,4,4
1.26,15,4,4
1.35,16,4,4
1.43,2,4,8
1.51,3,4,8
1.59,4,4,8
1.67,5,4,8
1.75,6,4,8
1.83,7,4,8
1.91,8,4,8
1.99,9,4,8
2.08,10,4,8
2.16,11,4,8
2.24,12,4,8
2.32,13,4,8
2.4,14,4,8
2.48,15,4,8
2.56,16,4,8
2.64,2,4,16
2.71,3,4,16
2.79,4,4,16
2.86,5,4,16
2.94,6,4,16
3.02,7,4,16
3.09,8,4,16
3.17,9,4,16
3.24,10,4,16
3.32,11,4,16
3.4,12,4,16
3.47,13,4,16
3.55,14,4,16
3.63,15,4,16
3.7,16,4,16
3.78,2,4,32
3.86,3,4,32
3.93,4,4,32
4.01,5,4,32
4.08,6,4,32
4.16,7,4,32
4.24,8,4,32
4.31,9,4,32
4.39,10,4,32
4.47,11,4,32
4.54,12,4,32
4.62,13,4,32
4.7,14,4,32
4.77,15,4,32
4.85,16,4,32
4.92,2,4,64
5,3,4,64
5.07,4,4,64
5.14,5,4,64
5.22,6,4,64
5.29,7,4,64
5.37,8,4,64
5.44,9,4,64
5.51,10,4,64
5.59,11,4,64
5.66,12,4,64
5.73,13,4,64
5.81,14,4,64
5.88,15,4,64
5.96,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.13,3,6,4
0.2,4,6,4
0.26,5,6,4
0.33,6,6,4
0.39,7,6,4
0.45,8,6,4
0.51,9,6,4
0.58,10,6,4
0.64,11,6,4
0.71,12,6,4
0.77,13,6,4
0.83,14,6,4
0.89,15,6,4
0.96,16,6,4
1.02,2,6,8
1.07,3,6,8
1.13,4,6,8
1.19,5,6,8
1.24,6,6,8
1.3,7,6,8
1.36,8,6,8
1.41,9,6,8
1.47,10,6,8
1.53,11,6,8
1.59,12,6,8
1.64,13,6,8
1.7,14,6,8
1.76,15,6,8
1.81,16,6,8
1.87,2,6,16
1.93,3,6,16
1.99,4,6,16
2.05,5,6,16
2.1,6,6,16
2.16,7,6,16
2.22,8,6,16
2.28,9,6,16
2.34,10,6,16
2.4,11,6,16
2.46,12,6,16
2.51,13,6,16
2.57,14,6,16
2.63,15,6,16
2.69,16,6,16
2.75,2,6,32
2.81,3,6,32
2.87,4,6,32
2.92,5,6,32
2.98,6,6,32
3.04,7,6,32
3.1,8,6,32
3.16,9,6,32
3.22,10,6,32
3.28,11,6,32
3.34,12,6,32
3.39,13,6,32
3.45,14,6,32
3.51,15,6,32
3.57,16,6,32
3.64,2,6,64
3.72,3,6,64
3.79,4,6,64
3.87,5,6,64
3.94,6,6,64
4.02,7,6,64
4.09,8,6,64
4.16,9,6,64
4.24,10,6,64
4.31,11,6,64
4.39,12,6,64
4.46,13,6,64
4.54,14,6,64
4.61,15,6,64
4.68,16,6,64
512 6 thread done,,,
0.07,2,8,4
0.12,3,8,4
0.18,4,8,4
0.23,5,8,4
0.28,6,8,4
0.33,7,8,4
0.38,8,8,4
0.43,9,8,4
0.48,10,8,4
0.53,11,8,4
0.58,12,8,4
0.63,13,8,4
0.69,14,8,4
0.74,15,8,4
0.79,16,8,4
0.83,2,8,8
0.88,3,8,8
0.92,4,8,8
0.97,5,8,8
1.01,6,8,8
1.06,7,8,8
1.11,8,8,8
1.15,9,8,8
1.2,10,8,8
1.24,11,8,8
1.29,12,8,8
1.33,13,8,8
1.38,14,8,8
1.42,15,8,8
1.47,16,8,8
1.51,2,8,16
1.56,3,8,16
1.6,4,8,16
1.64,5,8,16
1.68,6,8,16
1.73,7,8,16
1.77,8,8,16
1.81,9,8,16
1.86,10,8,16
1.9,11,8,16
1.94,12,8,16
1.99,13,8,16
2.03,14,8,16
2.07,15,8,16
2.11,16,8,16
2.16,2,8,32
2.2,3,8,32
2.24,4,8,32
2.29,5,8,32
2.33,6,8,32
2.37,7,8,32
2.42,8,8,32
2.46,9,8,32
2.5,10,8,32
2.55,11,8,32
2.59,12,8,32
2.63,13,8,32
2.67,14,8,32
2.72,15,8,32
2.76,16,8,32
2.8,2,8,64
2.84,3,8,64
2.88,4,8,64
2.93,5,8,64
2.97,6,8,64
3.01,7,8,64
3.05,8,8,64
3.09,9,8,64
3.13,10,8,64
3.18,11,8,64
3.22,12,8,64
3.26,13,8,64
3.3,14,8,64
3.34,15,8,64
3.38,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.13,3,10,4
0.2,4,10,4
0.26,5,10,4
0.33,6,10,4
0.39,7,10,4
0.46,8,10,4
0.52,9,10,4
0.58,10,10,4
0.65,11,10,4
0.71,12,10,4
0.77,13,10,4
0.83,14,10,4
0.9,15,10,4
0.96,16,10,4
1.02,2,10,8
1.08,3,10,8
1.15,4,10,8
1.21,5,10,8
1.27,6,10,8
1.33,7,10,8
1.39,8,10,8
1.45,9,10,8
1.5,10,10,8
1.56,11,10,8
1.62,12,10,8
1.68,13,10,8
1.74,14,10,8
1.8,15,10,8
1.86,16,10,8
1.92,2,10,16
1.98,3,10,16
2.03,4,10,16
2.08,5,10,16
2.12,6,10,16
2.17,7,10,16
2.22,8,10,16
2.27,9,10,16
2.32,10,10,16
2.37,11,10,16
2.42,12,10,16
2.47,13,10,16
2.52,14,10,16
2.57,15,10,16
