512x512 bmm 2,,,
Elapsed time,Power,No of threads,Block size
0.35,2,1,4
0.7,3,1,4
1.04,4,1,4
1.39,5,1,4
1.73,6,1,4
2.07,7,1,4
2.42,8,1,4
2.76,9,1,4
3.11,10,1,4
3.45,11,1,4
3.8,12,1,4
4.14,13,1,4
4.48,14,1,4
4.83,15,1,4
5.17,16,1,4
5.48,2,1,8
5.79,3,1,8
6.11,4,1,8
6.42,5,1,8
6.73,6,1,8
7.04,7,1,8
7.36,8,1,8
7.67,9,1,8
7.98,10,1,8
8.3,11,1,8
8.61,12,1,8
8.92,13,1,8
9.24,14,1,8
9.55,15,1,8
9.86,16,1,8
10.15,2,1,16
10.45,3,1,16
10.74,4,1,16
11.04,5,1,16
11.34,6,1,16
11.63,7,1,16
11.93,8,1,16
12.23,9,1,16
12.52,10,1,16
12.82,11,1,16
13.11,12,1,16
13.41,13,1,16
13.7,14,1,16
14,15,1,16
14.3,16,1,16
14.59,2,1,32
14.89,3,1,32
15.19,4,1,32
15.5,5,1,32
15.8,6,1,32
16.09,7,1,32
16.39,8,1,32
16.69,9,1,32
16.98,10,1,32
17.28,11,1,32
17.58,12,1,32
17.88,13,1,32
18.18,14,1,32
18.47,15,1,32
18.77,16,1,32
19.06,2,1,64
19.35,3,1,64
19.64,4,1,64
19.92,5,1,64
20.21,6,1,64
20.5,7,1,64
20.79,8,1,64
21.08,9,1,64
21.36,10,1,64
21.65,11,1,64
21.94,12,1,64
22.23,13,1,64
22.51,14,1,64
22.8,15,1,64
23.09,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.53,4,2,4
0.71,5,2,4
0.88,6,2,4
1.06,7,2,4
1.23,8,2,4
1.41,9,2,4
1.58,10,2,4
1.76,11,2,4
1.93,12,2,4
2.11,13,2,4
2.28,14,2,4
2.46,15,2,4
2.64,16,2,4
2.79,2,2,8
2.95,3,2,8
3.11,4,2,8
3.27,5,2,8
3.43,6,2,8
3.59,7,2,8
3.75,8,2,8
3.9,9,2,8
4.06,10,2,8
4.22,11,2,8
4.38,12,2,8
4.53,13,2,8
4.69,14,2,8
4.85,15,2,8
5.01,16,2,8
5.15,2,2,16
5.3,3,2,16
5.45,4,2,16
5.6,5,2,16
5.75,6,2,16
5.9,7,2,16
6.05,8,2,16
6.2,9,2,16
6.35,10,2,16
6.5,11,2,16
6.65,12,2,16
6.79,13,2,16
6.94,14,2,16
7.09,15,2,16
7.24,16,2,16
7.39,2,2,32
7.54,3,2,32
7.69,4,2,32
7.84,5,2,32
7.99,6,2,32
8.14,7,2,32
8.29,8,2,32
8.44,9,2,32
8.59,10,2,32
8.74,11,2,32
8.89,12,2,32
9.03,13,2,32
9.18,14,2,32
9.33,15,2,32
9.48,16,2,32
9.63,2,2,64
9.77,3,2,64
9.92,4,2,64
10.06,5,2,64
10.21,6,2,64
10.35,7,2,64
10.5,8,2,64
10.64,9,2,64
10.78,10,2,64
10.93,11,2,64
11.07,12,2,64
11.22,13,2,64
11.36,14,2,64
11.51,15,2,64
11.65,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.54,7,4,4
0.63,8,4,4
0.72,9,4,4
0.81,10,4,4
0.9,11,4,4
0.99,12,4,4
1.08,13,4,4
1.18,14,4,4
1.27,15,4,4
1.36,16,4,4
1.44,2,4,8
1.52,3,4,8
1.6,4,4,8
1.69,5,4,8
1.77,6,4,8
1.85,7,4,8
1.93,8,4,8
2.01,9,4,8
2.09,10,4,8
2.18,11,4,8
2.26,12,4,8
2.34,13,4,8
2.42,14,4,8
2.5,15,4,8
2.58,16,4,8
2.66,2,4,16
2.74,3,4,16
2.81,4,4,16
2.89,5,4,16
2.97,6,4,16
3.05,7,4,16
3.12,8,4,16
3.2,9,4,16
3.28,10,4,16
3.35,11,4,16
3.43,12,4,16
3.51,13,4,16
3.58,14,4,16
3.66,15,4,16
3.74,16,4,16
3.82,2,4,32
3.89,3,4,32
3.97,4,4,32
4.05,5,4,32
4.12,6,4,32
4.2,7,4,32
4.28,8,4,32
4.35,9,4,32
4.43,10,4,32
4.51,11,4,32
4.59,12,4,32
4.66,13,4,32
4.74,14,4,32
4.82,15,4,32
4.9,16,4,32
4.97,2,4,64
5.05,3,4,64
5.12,4,4,64
5.2,5,4,64
5.27,6,4,64
5.34,7,4,64
5.42,8,4,64
5.49,9,4,64
5.57,10,4,64
5.64,11,4,64
5.71,12,4,64
5.79,13,4,64
5.86,14,4,64
5.93,15,4,64
6.01,16,4,64
512 4 thread done,,,
0.07,2,6,4
0.14,3,6,4
0.2,4,6,4
0.27,5,6,4
0.33,6,6,4
0.4,7,6,4
0.46,8,6,4
0.52,9,6,4
0.59,10,6,4
0.65,11,6,4
0.71,12,6,4
0.78,13,6,4
0.84,14,6,4
0.91,15,6,4
0.97,16,6,4
1.03,2,6,8
1.09,3,6,8
1.15,4,6,8
1.21,5,6,8
1.27,6,6,8
1.33,7,6,8
1.39,8,6,8
1.45,9,6,8
1.51,10,6,8
1.57,11,6,8
1.63,12,6,8
1.69,13,6,8
1.74,14,6,8
1.81,15,6,8
1.87,16,6,8
1.93,2,6,16
1.99,3,6,16
2.05,4,6,16
2.1,5,6,16
2.16,6,6,16
2.22,7,6,16
2.28,8,6,16
2.34,9,6,16
2.4,10,6,16
2.46,11,6,16
2.52,12,6,16
2.58,13,6,16
2.64,14,6,16
2.7,15,6,16
2.76,16,6,16
2.82,2,6,32
2.88,3,6,32
2.94,4,6,32
2.99,5,6,32
3.06,6,6,32
3.12,7,6,32
3.18,8,6,32
3.23,9,6,32
3.29,10,6,32
3.35,11,6,32
3.41,12,6,32
3.47,13,6,32
3.53,14,6,32
3.59,15,6,32
3.65,16,6,32
3.72,2,6,64
3.8,3,6,64
3.88,4,6,64
3.95,5,6,64
4.03,6,6,64
4.1,7,6,64
4.18,8,6,64
4.25,9,6,64
4.33,10,6,64
4.4,11,6,64
4.48,12,6,64
4.55,13,6,64
4.63,14,6,64
4.7,15,6,64
4.78,16,6,64
512 6 thread done,,,
0.09,2,8,4
0.14,3,8,4
0.2,4,8,4
0.25,5,8,4
0.3,6,8,4
0.35,7,8,4
0.4,8,8,4
0.45,9,8,4
0.5,10,8,4
0.56,11,8,4
0.61,12,8,4
0.66,13,8,4
0.71,14,8,4
0.76,15,8,4
0.81,16,8,4
0.86,2,8,8
0.91,3,8,8
0.96,4,8,8
1,5,8,8
1.05,6,8,8
1.1,7,8,8
1.15,8,8,8
1.19,9,8,8
1.24,10,8,8
1.29,11,8,8
1.34,12,8,8
1.38,13,8,8
1.43,14,8,8
1.48,15,8,8
1.52,16,8,8
1.57,2,8,16
1.61,3,8,16
1.66,4,8,16
1.7,5,8,16
1.75,6,8,16
1.79,7,8,16
1.84,8,8,16
1.88,9,8,16
1.92,10,8,16
1.97,11,8,16
2.01,12,8,16
2.06,13,8,16
2.1,14,8,16
2.15,15,8,16
2.19,16,8,16
2.24,2,8,32
2.28,3,8,32
2.33,4,8,32
2.37,5,8,32
2.42,6,8,32
2.46,7,8,32
2.5,8,8,32
2.55,9,8,32
2.59,10,8,32
2.64,11,8,32
2.68,12,8,32
2.72,13,8,32
2.77,14,8,32
2.81,15,8,32
2.86,16,8,32
2.9,2,8,64
2.94,3,8,64
2.98,4,8,64
3.03,5,8,64
3.07,6,8,64
3.11,7,8,64
3.15,8,8,64
3.19,9,8,64
3.24,10,8,64
3.28,11,8,64
3.32,12,8,64
3.37,13,8,64
3.41,14,8,64
3.45,15,8,64
3.5,16,8,64
512 8 thread done,,,
0.08,2,10,4
0.15,3,10,4
0.21,4,10,4
0.28,5,10,4
0.35,6,10,4
0.41,7,10,4
0.48,8,10,4
0.54,9,10,4
0.61,10,10,4
0.67,11,10,4
0.74,12,10,4
0.81,13,10,4
0.87,14,10,4
0.94,15,10,4
1,16,10,4
1.06,2,10,8
1.13,3,10,8
1.19,4,10,8
1.24,5,10,8
1.31,6,10,8
1.37,7,10,8
1.43,8,10,8
1.49,9,10,8
1.55,10,10,8
1.61,11,10,8
1.67,12,10,8
1.73,13,10,8
1.79,14,10,8
1.86,15,10,8
1.92,16,10,8
1.97,2,10,16
2.02,3,10,16
2.07,4,10,16
2.12,5,10,16
2.17,6,10,16
2.22,7,10,16
2.27,8,10,16
2.32,9,10,16
2.37,10,10,16
2.42,11,10,16
2.47,12,10,16
2.54,13,10,16
2.6,14,10,16
2.66,15,10,16
