512x512 BMM 3,,,
Elapsed time,Power,No of threads,Block size
0.35,2,1,4
0.7,3,1,4
1.04,4,1,4
1.39,5,1,4
1.73,6,1,4
2.08,7,1,4
2.42,8,1,4
2.77,9,1,4
3.11,10,1,4
3.46,11,1,4
3.8,12,1,4
4.15,13,1,4
4.49,14,1,4
4.84,15,1,4
5.18,16,1,4
5.5,2,1,8
5.81,3,1,8
6.12,4,1,8
6.43,5,1,8
6.75,6,1,8
7.06,7,1,8
7.38,8,1,8
7.69,9,1,8
8,10,1,8
8.31,11,1,8
8.63,12,1,8
8.94,13,1,8
9.25,14,1,8
9.56,15,1,8
9.88,16,1,8
10.18,2,1,16
10.47,3,1,16
10.77,4,1,16
11.07,5,1,16
11.36,6,1,16
11.66,7,1,16
11.95,8,1,16
12.25,9,1,16
12.54,10,1,16
12.84,11,1,16
13.13,12,1,16
13.43,13,1,16
13.73,14,1,16
14.02,15,1,16
14.32,16,1,16
14.61,2,1,32
14.91,3,1,32
15.21,4,1,32
15.51,5,1,32
15.8,6,1,32
16.1,7,1,32
16.4,8,1,32
16.69,9,1,32
16.99,10,1,32
17.29,11,1,32
17.59,12,1,32
17.89,13,1,32
18.18,14,1,32
18.48,15,1,32
18.78,16,1,32
19.06,2,1,64
19.35,3,1,64
19.64,4,1,64
19.93,5,1,64
20.21,6,1,64
20.5,7,1,64
20.79,8,1,64
21.07,9,1,64
21.36,10,1,64
21.65,11,1,64
21.94,12,1,64
22.22,13,1,64
22.51,14,1,64
22.8,15,1,64
23.08,16,1,64
512 1 thread done,,,
0.18,2,2,4
0.36,3,2,4
0.53,4,2,4
0.71,5,2,4
0.88,6,2,4
1.05,7,2,4
1.23,8,2,4
1.4,9,2,4
1.58,10,2,4
1.75,11,2,4
1.92,12,2,4
2.1,13,2,4
2.27,14,2,4
2.45,15,2,4
2.62,16,2,4
2.78,2,2,8
2.93,3,2,8
3.09,4,2,8
3.25,5,2,8
3.41,6,2,8
3.56,7,2,8
3.72,8,2,8
3.88,9,2,8
4.04,10,2,8
4.2,11,2,8
4.35,12,2,8
4.51,13,2,8
4.67,14,2,8
4.83,15,2,8
4.98,16,2,8
5.13,2,2,16
5.28,3,2,16
5.43,4,2,16
5.58,5,2,16
5.73,6,2,16
5.88,7,2,16
6.03,8,2,16
6.18,9,2,16
6.32,10,2,16
6.47,11,2,16
6.62,12,2,16
6.77,13,2,16
6.92,14,2,16
7.07,15,2,16
7.22,16,2,16
7.37,2,2,32
7.52,3,2,32
7.67,4,2,32
7.81,5,2,32
7.96,6,2,32
8.11,7,2,32
8.26,8,2,32
8.41,9,2,32
8.56,10,2,32
8.71,11,2,32
8.86,12,2,32
9.01,13,2,32
9.16,14,2,32
9.31,15,2,32
9.46,16,2,32
9.6,2,2,64
9.74,3,2,64
9.89,4,2,64
10.04,5,2,64
10.18,6,2,64
10.32,7,2,64
10.47,8,2,64
10.61,9,2,64
10.76,10,2,64
10.9,11,2,64
11.05,12,2,64
11.19,13,2,64
11.34,14,2,64
11.48,15,2,64
11.62,16,2,64
512 2 thread done,,,
0.1,2,4,4
0.19,3,4,4
0.28,4,4,4
0.37,5,4,4
0.46,6,4,4
0.55,7,4,4
0.64,8,4,4
0.73,9,4,4
0.81,10,4,4
0.9,11,4,4
1,12,4,4
1.08,13,4,4
1.17,14,4,4
1.26,15,4,4
1.35,16,4,4
1.43,2,4,8
1.51,3,4,8
1.59,4,4,8
1.67,5,4,8
1.75,6,4,8
1.83,7,4,8
1.92,8,4,8
2,9,4,8
2.08,10,4,8
2.16,11,4,8
2.24,12,4,8
2.32,13,4,8
2.4,14,4,8
2.48,15,4,8
2.56,16,4,8
2.64,2,4,16
2.71,3,4,16
2.79,4,4,16
2.87,5,4,16
2.94,6,4,16
3.02,7,4,16
3.09,8,4,16
3.17,9,4,16
3.25,10,4,16
3.32,11,4,16
3.4,12,4,16
3.47,13,4,16
3.55,14,4,16
3.63,15,4,16
3.7,16,4,16
3.78,2,4,32
3.86,3,4,32
3.93,4,4,32
4.01,5,4,32
4.09,6,4,32
4.16,7,4,32
4.24,8,4,32
4.31,9,4,32
4.39,10,4,32
4.47,11,4,32
4.54,12,4,32
4.62,13,4,32
4.7,14,4,32
4.77,15,4,32
4.85,16,4,32
4.92,2,4,64
5,3,4,64
5.07,4,4,64
5.15,5,4,64
5.22,6,4,64
5.29,7,4,64
5.37,8,4,64
5.44,9,4,64
5.51,10,4,64
5.59,11,4,64
5.66,12,4,64
5.74,13,4,64
5.81,14,4,64
5.88,15,4,64
5.96,16,4,64
512 4 thread done,,,
0.08,2,6,4
0.14,3,6,4
0.21,4,6,4
0.27,5,6,4
0.33,6,6,4
0.4,7,6,4
0.46,8,6,4
0.52,9,6,4
0.59,10,6,4
0.65,11,6,4
0.71,12,6,4
0.78,13,6,4
0.84,14,6,4
0.9,15,6,4
0.97,16,6,4
1.02,2,6,8
1.08,3,6,8
1.14,4,6,8
1.2,5,6,8
1.25,6,6,8
1.31,7,6,8
1.37,8,6,8
1.43,9,6,8
1.49,10,6,8
1.54,11,6,8
1.6,12,6,8
1.66,13,6,8
1.72,14,6,8
1.77,15,6,8
1.83,16,6,8
1.89,2,6,16
1.95,3,6,16
2.01,4,6,16
2.07,5,6,16
2.12,6,6,16
2.18,7,6,16
2.24,8,6,16
2.3,9,6,16
2.36,10,6,16
2.42,11,6,16
2.48,12,6,16
2.54,13,6,16
2.59,14,6,16
2.65,15,6,16
2.71,16,6,16
2.77,2,6,32
2.83,3,6,32
2.89,4,6,32
2.95,5,6,32
3.01,6,6,32
3.06,7,6,32
3.12,8,6,32
3.18,9,6,32
3.24,10,6,32
3.3,11,6,32
3.36,12,6,32
3.42,13,6,32
3.48,14,6,32
3.53,15,6,32
3.59,16,6,32
3.67,2,6,64
3.74,3,6,64
3.82,4,6,64
3.89,5,6,64
3.97,6,6,64
4.04,7,6,64
4.11,8,6,64
4.19,9,6,64
4.26,10,6,64
4.34,11,6,64
4.41,12,6,64
4.49,13,6,64
4.56,14,6,64
4.64,15,6,64
4.71,16,6,64
512 6 thread done,,,
0.07,2,8,4
0.13,3,8,4
0.18,4,8,4
0.24,5,8,4
0.29,6,8,4
0.34,7,8,4
0.39,8,8,4
0.44,9,8,4
0.49,10,8,4
0.54,11,8,4
0.59,12,8,4
0.64,13,8,4
0.7,14,8,4
0.75,15,8,4
0.8,16,8,4
0.84,2,8,8
0.89,3,8,8
0.94,4,8,8
0.98,5,8,8
1.03,6,8,8
1.07,7,8,8
1.12,8,8,8
1.16,9,8,8
1.21,10,8,8
1.26,11,8,8
1.3,12,8,8
1.35,13,8,8
1.39,14,8,8
1.44,15,8,8
1.49,16,8,8
1.53,2,8,16
1.57,3,8,16
1.62,4,8,16
1.66,5,8,16
1.7,6,8,16
1.75,7,8,16
1.79,8,8,16
1.83,9,8,16
1.88,10,8,16
1.92,11,8,16
1.96,12,8,16
2.01,13,8,16
2.05,14,8,16
2.1,15,8,16
2.16,16,8,16
2.23,2,8,32
2.27,3,8,32
2.31,4,8,32
2.36,5,8,32
2.4,6,8,32
2.44,7,8,32
2.49,8,8,32
2.53,9,8,32
2.57,10,8,32
2.62,11,8,32
2.66,12,8,32
2.7,13,8,32
2.75,14,8,32
2.79,15,8,32
2.83,16,8,32
2.87,2,8,64
2.92,3,8,64
2.96,4,8,64
3,5,8,64
3.04,6,8,64
3.08,7,8,64
3.13,8,8,64
3.17,9,8,64
3.21,10,8,64
3.25,11,8,64
3.29,12,8,64
3.33,13,8,64
3.38,14,8,64
3.42,15,8,64
3.46,16,8,64
512 8 thread done,,,
0.07,2,10,4
0.13,3,10,4
0.2,4,10,4
0.26,5,10,4
0.33,6,10,4
0.39,7,10,4
0.45,8,10,4
0.52,9,10,4
0.58,10,10,4
0.64,11,10,4
0.71,12,10,4
0.77,13,10,4
0.84,14,10,4
0.9,15,10,4
0.96,16,10,4
1.02,2,10,8
1.07,3,10,8
1.13,4,10,8
1.19,5,10,8
1.25,6,10,8
1.31,7,10,8
1.37,8,10,8
1.43,9,10,8
1.49,10,10,8
1.55,11,10,8
1.6,12,10,8
1.66,13,10,8
1.72,14,10,8
1.78,15,10,8
1.83,16,10,8
1.89,2,10,16
1.95,3,10,16
2,4,10,16
2.05,5,10,16
2.1,6,10,16
2.14,7,10,16
2.19,8,10,16
2.24,9,10,16
2.29,10,10,16
2.34,11,10,16
2.39,12,10,16
2.44,13,10,16
2.49,14,10,16
2.54,15,10,16
2.59,16,10,16
