512x512 OMM transpose 0,,
Elapsed time,Power,No of threads
0.37,2,1
0.72,3,1
1.07,4,1
1.43,5,1
1.78,6,1
2.13,7,1
2.49,8,1
2.84,9,1
3.19,10,1
3.54,11,1
3.89,12,1
4.25,13,1
4.6,14,1
4.95,15,1
5.3,16,1
512 1 thread done,,
0.18,2,2
0.36,3,2
0.53,4,2
0.71,5,2
0.89,6,2
1.06,7,2
1.24,8,2
1.41,9,2
1.59,10,2
1.77,11,2
1.94,12,2
2.13,13,2
2.3,14,2
2.48,15,2
2.65,16,2
512 2 thread done,,
0.1,2,4
0.19,3,4
0.28,4,4
0.37,5,4
0.46,6,4
0.55,7,4
0.64,8,4
0.73,9,4
0.82,10,4
0.91,11,4
1,12,4
1.09,13,4
1.18,14,4
1.28,15,4
1.37,16,4
512 4 thread done,,
0.07,2,6
0.14,3,6
0.2,4,6
0.26,5,6
0.33,6,6
0.39,7,6
0.45,8,6
0.52,9,6
0.58,10,6
0.64,11,6
0.71,12,6
0.77,13,6
0.83,14,6
0.89,15,6
0.96,16,6
512 6 thread done,,
0.07,2,8
0.12,3,8
0.17,4,8
0.22,5,8
0.27,6,8
0.32,7,8
0.38,8,8
0.43,9,8
0.48,10,8
0.53,11,8
0.58,12,8
0.63,13,8
0.68,14,8
0.73,15,8
0.78,16,8
512 8 thread done,,
0.07,2,10
0.13,3,10
0.2,4,10
0.26,5,10
0.33,6,10
0.39,7,10
0.45,8,10
0.52,9,10
0.59,10,10
0.65,11,10
0.72,12,10
0.78,13,10
0.84,14,10
0.9,15,10
0.97,16,10
512 10 thread done,,
0.06,2,12
0.12,3,12
0.17,4,12
0.22,5,12
0.28,6,12
0.33,7,12
0.38,8,12
0.44,9,12
0.49,10,12
0.55,11,12
0.6,12,12
0.66,13,12
0.71,14,12
0.77,15,12
0.82,16,12
512 12 thread done,,
0.09,2,14
0.14,3,14
0.2,4,14
0.27,5,14
0.32,6,14
0.37,7,14
0.43,8,14
0.48,9,14
0.54,10,14
0.59,11,14
0.65,12,14
0.7,13,14
0.76,14,14
0.81,15,14
0.87,16,14
512 14 thread done,,
0.07,2,16
0.12,3,16
0.17,4,16
0.22,5,16
0.27,6,16
0.32,7,16
0.36,8,16
0.42,9,16
0.47,10,16
0.52,11,16
0.57,12,16
0.62,13,16
0.66,14,16
0.71,15,16
0.76,16,16
512 16 thread done,,
