512x512 OMM Transpose 4,,
elapsed time,power,no of threads
0.61,2,1
1.22,3,1
1.81,4,1
2.41,5,1
3,6,1
3.58,7,1
4.18,8,1
4.83,9,1
5.52,10,1
6.12,11,1
6.72,12,1
7.44,13,1
8.07,14,1
8.66,15,1
9.29,16,1
512 1 thread done,,
0.35,2,2
0.68,3,2
1.02,4,2
1.32,5,2
1.64,6,2
1.96,7,2
2.31,8,2
2.67,9,2
3.02,10,2
3.53,11,2
3.98,12,2
4.51,13,2
5.38,14,2
6.25,15,2
7.12,16,2
512 2 thread done,,
0.47,2,4
1.03,3,4
1.45,4,4
1.99,5,4
2.43,6,4
3.16,7,4
3.62,8,4
4.13,9,4
4.68,10,4
5,11,4
5.35,12,4
5.69,13,4
5.92,14,4
6.16,15,4
6.4,16,4
512 4 thread done,,
0.25,2,6
0.48,3,6
0.75,4,6
1.01,5,6
1.26,6,6
1.47,7,6
1.7,8,6
1.94,9,6
2.17,10,6
2.37,11,6
2.59,12,6
2.81,13,6
3.05,14,6
3.27,15,6
3.49,16,6
512 6 thread done,,
0.25,2,8
0.56,3,8
0.84,4,8
1.07,5,8
1.42,6,8
1.85,7,8
2.35,8,8
2.78,9,8
3.11,10,8
3.49,11,8
4,12,8
4.38,13,8
4.72,14,8
4.94,15,8
5.17,16,8
512 8 thread done,,
0.26,2,10
0.5,3,10
0.76,4,10
1.05,5,10
1.29,6,10
1.53,7,10
1.85,8,10
2.2,9,10
2.48,10,10
2.87,11,10
3.29,12,10
3.66,13,10
4.06,14,10
4.42,15,10
4.73,16,10
512 10 thread done,,
0.33,2,12
0.63,3,12
0.9,4,12
1.18,5,12
1.45,6,12
1.69,7,12
1.92,8,12
2.19,9,12
2.44,10,12
2.65,11,12
2.97,12,12
3.21,13,12
3.43,14,12
3.64,15,12
3.83,16,12
512 12 thread done,,
0.26,2,14
0.48,3,14
0.68,4,14
0.88,5,14
1.13,6,14
1.44,7,14
1.69,8,14
1.89,9,14
2.09,10,14
2.31,11,14
2.49,12,14
2.7,13,14
2.91,14,14
3.11,15,14
3.31,16,14
512 14 thread done,,
0.22,2,16
0.44,3,16
0.66,4,16
0.9,5,16
1.15,6,16
1.51,7,16
1.77,8,16
2.03,9,16
2.26,10,16
2.52,11,16
2.78,12,16
3.03,13,16
3.25,14,16
3.46,15,16
3.76,16,16
512 16 thread done,,
