elapsed time = 0.60 | seconds power is 2 | number of threads is 1
elapsed time = 1.19 | seconds power is 3 | number of threads is 1
elapsed time = 1.77 | seconds power is 4 | number of threads is 1
elapsed time = 2.41 | seconds power is 5 | number of threads is 1
elapsed time = 3.04 | seconds power is 6 | number of threads is 1
elapsed time = 3.66 | seconds power is 7 | number of threads is 1
elapsed time = 4.26 | seconds power is 8 | number of threads is 1
elapsed time = 4.85 | seconds power is 9 | number of threads is 1
elapsed time = 5.50 | seconds power is 10 | number of threads is 1
elapsed time = 6.14 | seconds power is 11 | number of threads is 1
elapsed time = 6.78 | seconds power is 12 | number of threads is 1
elapsed time = 7.39 | seconds power is 13 | number of threads is 1
elapsed time = 8.17 | seconds power is 14 | number of threads is 1
elapsed time = 8.78 | seconds power is 15 | number of threads is 1
elapsed time = 9.45 | seconds power is 16 | number of threads is 1
512 1 thread done
elapsed time = 0.37 | seconds power is 2 | number of threads is 2
elapsed time = 0.70 | seconds power is 3 | number of threads is 2
elapsed time = 1.02 | seconds power is 4 | number of threads is 2
elapsed time = 1.31 | seconds power is 5 | number of threads is 2
elapsed time = 1.62 | seconds power is 6 | number of threads is 2
elapsed time = 1.94 | seconds power is 7 | number of threads is 2
elapsed time = 2.26 | seconds power is 8 | number of threads is 2
elapsed time = 2.56 | seconds power is 9 | number of threads is 2
elapsed time = 2.86 | seconds power is 10 | number of threads is 2
elapsed time = 3.20 | seconds power is 11 | number of threads is 2
elapsed time = 3.50 | seconds power is 12 | number of threads is 2
elapsed time = 3.80 | seconds power is 13 | number of threads is 2
elapsed time = 4.14 | seconds power is 14 | number of threads is 2
elapsed time = 4.46 | seconds power is 15 | number of threads is 2
elapsed time = 4.78 | seconds power is 16 | number of threads is 2
512 2 thread done
elapsed time = 0.20 | seconds power is 2 | number of threads is 4
elapsed time = 0.41 | seconds power is 3 | number of threads is 4
elapsed time = 0.60 | seconds power is 4 | number of threads is 4
elapsed time = 0.79 | seconds power is 5 | number of threads is 4
elapsed time = 0.98 | seconds power is 6 | number of threads is 4
elapsed time = 1.19 | seconds power is 7 | number of threads is 4
elapsed time = 1.38 | seconds power is 8 | number of threads is 4
elapsed time = 1.58 | seconds power is 9 | number of threads is 4
elapsed time = 1.78 | seconds power is 10 | number of threads is 4
elapsed time = 1.97 | seconds power is 11 | number of threads is 4
elapsed time = 2.17 | seconds power is 12 | number of threads is 4
elapsed time = 2.38 | seconds power is 13 | number of threads is 4
elapsed time = 2.59 | seconds power is 14 | number of threads is 4
elapsed time = 2.82 | seconds power is 15 | number of threads is 4
elapsed time = 3.20 | seconds power is 16 | number of threads is 4
512 4 thread done
elapsed time = 0.26 | seconds power is 2 | number of threads is 6
elapsed time = 0.52 | seconds power is 3 | number of threads is 6
elapsed time = 0.77 | seconds power is 4 | number of threads is 6
elapsed time = 0.99 | seconds power is 5 | number of threads is 6
elapsed time = 1.27 | seconds power is 6 | number of threads is 6
elapsed time = 1.52 | seconds power is 7 | number of threads is 6
elapsed time = 1.75 | seconds power is 8 | number of threads is 6
elapsed time = 1.94 | seconds power is 9 | number of threads is 6
elapsed time = 2.16 | seconds power is 10 | number of threads is 6
elapsed time = 2.36 | seconds power is 11 | number of threads is 6
elapsed time = 2.58 | seconds power is 12 | number of threads is 6
elapsed time = 2.77 | seconds power is 13 | number of threads is 6
elapsed time = 2.97 | seconds power is 14 | number of threads is 6
elapsed time = 3.16 | seconds power is 15 | number of threads is 6
elapsed time = 3.39 | seconds power is 16 | number of threads is 6
512 6 thread done
elapsed time = 0.23 | seconds power is 2 | number of threads is 8
elapsed time = 0.43 | seconds power is 3 | number of threads is 8
elapsed time = 0.62 | seconds power is 4 | number of threads is 8
elapsed time = 0.81 | seconds power is 5 | number of threads is 8
elapsed time = 1.02 | seconds power is 6 | number of threads is 8
elapsed time = 1.21 | seconds power is 7 | number of threads is 8
elapsed time = 1.41 | seconds power is 8 | number of threads is 8
elapsed time = 1.60 | seconds power is 9 | number of threads is 8
elapsed time = 1.80 | seconds power is 10 | number of threads is 8
elapsed time = 2.05 | seconds power is 11 | number of threads is 8
elapsed time = 2.27 | seconds power is 12 | number of threads is 8
elapsed time = 2.46 | seconds power is 13 | number of threads is 8
elapsed time = 2.65 | seconds power is 14 | number of threads is 8
elapsed time = 2.85 | seconds power is 15 | number of threads is 8
elapsed time = 3.06 | seconds power is 16 | number of threads is 8
512 8 thread done
elapsed time = 0.25 | seconds power is 2 | number of threads is 10
elapsed time = 0.46 | seconds power is 3 | number of threads is 10
elapsed time = 0.65 | seconds power is 4 | number of threads is 10
elapsed time = 0.87 | seconds power is 5 | number of threads is 10
elapsed time = 1.07 | seconds power is 6 | number of threads is 10
elapsed time = 1.26 | seconds power is 7 | number of threads is 10
elapsed time = 1.45 | seconds power is 8 | number of threads is 10
elapsed time = 1.64 | seconds power is 9 | number of threads is 10
elapsed time = 1.83 | seconds power is 10 | number of threads is 10
elapsed time = 2.02 | seconds power is 11 | number of threads is 10
elapsed time = 2.26 | seconds power is 12 | number of threads is 10
elapsed time = 2.50 | seconds power is 13 | number of threads is 10
elapsed time = 2.76 | seconds power is 14 | number of threads is 10
elapsed time = 2.99 | seconds power is 15 | number of threads is 10
elapsed time = 3.31 | seconds power is 16 | number of threads is 10
512 10 thread done
elapsed time = 0.35 | seconds power is 2 | number of threads is 12
elapsed time = 0.61 | seconds power is 3 | number of threads is 12
elapsed time = 0.89 | seconds power is 4 | number of threads is 12
elapsed time = 1.18 | seconds power is 5 | number of threads is 12
elapsed time = 1.42 | seconds power is 6 | number of threads is 12
elapsed time = 1.65 | seconds power is 7 | number of threads is 12
elapsed time = 1.91 | seconds power is 8 | number of threads is 12
elapsed time = 2.15 | seconds power is 9 | number of threads is 12
elapsed time = 2.40 | seconds power is 10 | number of threads is 12
elapsed time = 2.66 | seconds power is 11 | number of threads is 12
elapsed time = 2.93 | seconds power is 12 | number of threads is 12
elapsed time = 3.20 | seconds power is 13 | number of threads is 12
elapsed time = 3.44 | seconds power is 14 | number of threads is 12
elapsed time = 3.70 | seconds power is 15 | number of threads is 12
