512X512 OMM run 4,,
Elapsed time,Power,Number of threads
0.36,2,1
0.71,3,1
1.07,4,1
1.43,5,1
1.78,6,1
2.13,7,1
2.49,8,1
2.85,9,1
3.2,10,1
3.56,11,1
3.91,12,1
4.26,13,1
4.61,14,1
4.96,15,1
5.31,16,1
512 1 thread done,,
0.19,2,2
0.36,3,2
0.54,4,2
0.72,5,2
0.9,6,2
1.08,7,2
1.26,8,2
1.44,9,2
1.62,10,2
1.8,11,2
1.98,12,2
2.16,13,2
2.34,14,2
2.51,15,2
2.69,16,2
512 2 thread done,,
0.1,2,4
0.19,3,4
0.28,4,4
0.37,5,4
0.47,6,4
0.56,7,4
0.65,8,4
0.74,9,4
0.83,10,4
0.93,11,4
1.02,12,4
1.11,13,4
1.2,14,4
1.29,15,4
1.38,16,4
512 4 thread done,,
0.07,2,6
0.14,3,6
0.2,4,6
0.26,5,6
0.33,6,6
0.39,7,6
0.45,8,6
0.52,9,6
0.58,10,6
0.64,11,6
0.7,12,6
0.77,13,6
0.83,14,6
0.89,15,6
0.96,16,6
512 6 thread done,,
0.06,2,8
0.11,3,8
0.16,4,8
0.22,5,8
0.27,6,8
0.32,7,8
0.37,8,8
0.42,9,8
0.47,10,8
0.52,11,8
0.57,12,8
0.62,13,8
0.68,14,8
0.73,15,8
0.78,16,8
512 8 thread done,,
0.07,2,10
0.13,3,10
0.19,4,10
0.26,5,10
0.33,6,10
0.39,7,10
0.46,8,10
0.52,9,10
0.58,10,10
0.64,11,10
0.71,12,10
0.78,13,10
0.84,14,10
0.91,15,10
0.97,16,10
512 10 thread done,,
0.06,2,12
0.11,3,12
0.17,4,12
0.22,5,12
0.28,6,12
0.34,7,12
0.39,8,12
0.45,9,12
0.5,10,12
0.56,11,12
0.61,12,12
0.67,13,12
0.72,14,12
0.77,15,12
0.83,16,12
512 12 thread done,,
0.06,2,14
0.11,3,14
0.17,4,14
0.22,5,14
0.28,6,14
0.33,7,14
0.39,8,14
0.44,9,14
0.5,10,14
0.55,11,14
0.61,12,14
0.66,13,14
0.72,14,14
0.77,15,14
0.83,16,14
512 14 thread done,,
0.06,2,16
0.12,3,16
0.17,4,16
0.22,5,16
0.26,6,16
0.31,7,16
0.36,8,16
0.41,9,16
0.46,10,16
0.51,11,16
0.56,12,16
0.61,13,16
0.66,14,16
0.73,15,16
0.78,16,16
512 16 thread done,,
